Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
397,P17_007583_2216_XN_41N307W,H5335_0000_DA4,100,no,,,,52.1064,52.1064,41.8128,52.0156,52.0156,41.7542,52.0559,52.0559,41.783,52.0625,52.0625,41.7752,52.061,52.061,41.779,5.3074,0.54666,2.90134,229.15412,-2073,-213,-1171.45,458.05,9.70879
398,P03_002401_2246_XI_44N308W,H1523_0000_DA4,75,no,,,,51.1956,51.1956,44.2864,51.2288,51.2288,44.3313,51.2278,51.2278,44.2979,51.2063,51.2063,44.3111,51.212,51.2122,44.305,3.01086,1.20158,3.61779,27.87255,-2473,-1146,-1969.69,378.266,2.50575
399,P03_002401_2246_XI_44N308W,H1523_0000_DA4,75,no,,,,50.8508,50.8508,45.1592,50.8003,50.8003,45.1773,50.8418,50.8418,45.1751,50.8303,50.8303,45.147,50.826,50.82555,45.161,2.36733,1.73349,4.10373,296.9654,-2600,-1475,-2139.43,274.801,1.36565
400,P15_006937_2222_XN_42N308W,H2908_0000_DA4,150,no,,,,51.7524,51.7524,39.7307,51.6943,51.6943,39.7859,51.7456,51.7456,39.7693,51.7178,51.7178,39.7429,51.723,51.72335,39.756,4.20866,2.01324,8.47303,321.04099,-1827,-110,-874.01,589.701,2.09049
401,P15_006937_2222_XN_42N308W,H2908_0000_DA4,150,no,,,,51.9653,51.9653,39.8089,51.915,51.915,39.8924,51.9688,51.9688,39.8655,51.9536,51.9536,39.8548,51.940,51.94015,39.860,5.45279,0.93833,5.11654,335.19702,-1791,-129,-803.361,618.458,5.81115
402,P15_006937_2222_XN_42N308W,H2908_0000_DA4,150,no,,,,52.0503,52.0503,39.823,51.9399,51.9399,39.8982,52.0156,52.0156,39.8679,52.001,52.001,39.8562,51.995,51.9951,39.862,6.71535,0.96027,6.44858,311.62063,-1597,-207,-623.985,481.364,6.99316
403,P15_006937_2222_XN_42N308W,H2908_0000_DA4,150,yes,ESP_028127_2205,,,52.1133,52.1133,39.8523,52.0459,52.0459,39.9417,52.0801,52.0801,39.9021,52.0659,52.0659,39.8889,52.080,52.0796,39.896,6.12139,1.01444,6.20978,329.97641,-1566,-188,-493.363,401.283,6.03425
404,P15_006937_2222_XN_42N308W,H2908_0000_DA4,150,yes,ESP_028127_2205,,,52.1621,52.1621,39.9158,52.0635,52.0635,39.9851,52.1016,52.1016,39.9451,52.0918,52.0918,39.9343,52.113,52.1128,39.940,6.07809,0.77981,4.73978,312.54709,-1855,-141,-621.675,489.928,7.79428
405,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,52.1006,52.1006,40.51,52.0264,52.0264,40.5029,52.0593,52.0593,40.5178,52.0603,52.0603,40.5073,52.064,52.0635,40.513,3.37027,0.62398,2.10298,262.85118,-2289,-337,-1354.47,612.694,5.40126
406,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.969,51.969,40.6321,51.8965,51.8965,40.6414,51.9382,51.9382,40.647,51.9373,51.9373,40.6336,51.933,51.93275,40.640,3.30719,0.79527,2.6301,279.61813,-2198,-285,-1109.77,622.427,4.15859
407,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.6794,51.6794,40.6968,51.6799,51.6799,40.6301,51.6736,51.6736,40.6582,51.6877,51.6877,40.6597,51.680,51.67965,40.659,3.95347,0.64019,2.53096,179.67404,-1832,-63,-940.322,486.366,6.17549
408,P15_006937_2222_XN_42N308W,H1523_0000_DA4,75,no,,,,51.45,51.45,40.6814,51.521,51.521,40.5928,51.4941,51.4941,40.6499,51.5076,51.5076,40.6709,51.486,51.4855,40.660,6.1462,1.38482,8.51135,148.67277,-1014,-32,-254.438,213.708,4.43828
409,P15_006937_2222_XN_42N308W,H1523_0000_DA4,75,no,,,,51.4443,51.4443,40.6533,51.5181,51.5181,40.5901,51.4895,51.4895,40.6201,51.5186,51.5186,40.6321,51.481,51.4812,40.626,5.00555,1.48982,7.45738,138.42445,-2075,38,-1052.94,479.461,3.35983
410,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.8149,51.8149,40.6922,51.8591,51.8591,40.6809,51.8357,51.8357,40.6821,51.8374,51.8374,40.689,51.837,51.837,40.686,2.09643,0.41605,0.87221,108.61709,-2146,-489,-1802.23,382.77,5.03889
411,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.8113,51.8113,40.7207,51.8777,51.8777,40.7095,51.8479,51.8479,40.709,51.8511,51.8511,40.7212,51.845,51.8445,40.715,3.05602,0.73726,2.25309,102.52434,-2118,-436,-1759.87,416.49,4.14509
412,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.7568,51.7568,40.7634,51.875,51.875,40.7598,51.8193,51.8193,40.7588,51.8206,51.8206,40.7713,51.816,51.8159,40.765,5.31077,0.74319,3.9469,92.26407,-1967,-93,-1001.5,517.76,7.14594
413,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.627,51.627,40.7883,51.6411,51.6411,40.8538,51.6426,51.6426,40.8172,51.6272,51.6272,40.8216,51.634,51.63405,40.819,3.93345,0.73836,2.9043,9.24786,-1942,-75,-869.333,694.765,5.32729
414,P15_006937_2222_XN_42N308W,H5335_0000_DA4,100,no,,,,51.5789,51.5789,40.7786,51.585,51.585,40.885,51.5962,51.5962,40.8213,51.5786,51.5786,40.8118,51.582,51.58195,40.817,6.31241,0.96971,6.12121,2.48185,-1852,22,-624.507,505.227,6.50957
415,P15_007082_2245_XN_44N308W,H3289_0000_DA4,100,no,,,,51.2866,51.2866,45.1826,51.3525,51.3525,45.1675,51.3181,51.3181,45.1653,51.3215,51.3215,45.1807,51.320,51.31955,45.173,2.8953,0.92377,2.67459,107.98289,-2455,-1259,-2081,292.596,3.13423
416,P20_008730_2278_XN_47N309W,H1523_0000_DA4,75,no,,,,50.2542,50.2542,46.0674,50.3508,50.3508,46.0659,50.3025,50.3025,46.0579,50.303,50.303,46.0752,50.303,50.3025,46.067,3.97355,1.0256,4.07527,91.2473,-2179,-1819,-2065.56,91.7348,3.87436
417,P20_008730_2278_XN_47N309W,H1523_0000_DA4,75,no,,,,50.2568,50.2568,46.0383,50.3398,50.3398,46.0132,50.2979,50.2979,46.0103,50.3044,50.3044,46.0296,50.298,50.2983,46.020,3.72572,1.17481,4.37699,113.50511,-2111,-877,-1690.46,333.255,3.17135
418,P20_008730_2278_XN_47N309W,H1523_0000_DA4,75,no,,,,50.2529,50.2529,45.9675,50.2043,50.2043,45.9458,50.2297,50.2297,45.9578,50.2319,50.2319,45.9478,50.229,50.2286,45.953,2.38005,0.59961,1.4271,237.30638,-2228,-942,-1786.54,305.8,3.96936
419,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.7637,50.7637,40.0969,50.8491,50.8491,40.0935,50.8091,50.8091,40.0877,50.8091,50.8091,40.1052,50.806,50.8064,40.096,3.87737,1.03725,4.0218,92.95173,-1243,-446,-741.161,211.311,3.73813
420,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,51.0125,51.0125,40.0576,51.0374,51.0374,40.0916,51.03,51.03,40.073,51.02,51.02,40.0794,51.025,51.02495,40.076,2.3101,0.59126,1.36588,29.25832,-2111,-411,-1200.95,536.732,3.90704
421,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.7817,50.7817,40.6558,50.8298,50.8298,40.7073,50.8193,50.8193,40.6709,50.7915,50.7915,40.6895,50.806,50.80575,40.680,3.74057,1.66639,6.23324,35.29346,-1651,-229,-1039.28,553.114,2.24472
422,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.7231,50.7231,40.6502,50.7788,50.7788,40.6904,50.7581,50.7581,40.6629,50.752,50.752,40.6716,50.751,50.75095,40.667,3.45651,0.58405,2.01878,46.40404,-1567,-229,-591.932,404.322,5.91817
423,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,yes,"ESP_020558_2215, ESP_020835_2215, ESP_027494_2215",ESP_020835_2215_ESP_020558_2215_RED_ANAGLYPH,,50.7607,50.7607,41.1712,50.7778,50.7778,41.2376,50.7715,50.7715,41.2083,50.7534,50.7534,41.2136,50.769,50.76925,41.211,4.00881,0.86605,3.47182,10.95992,-1910,-80,-1025.39,567.956,4.62887
424,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.6562,50.6562,41.1179,50.7222,50.7222,41.2478,50.7114,50.7114,41.1829,50.6831,50.6831,41.1843,50.689,50.6892,41.184,8.24306,1.26513,10.42851,20.90461,-1056,7,-198.896,223.875,6.5156
425,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.582,50.582,41.1804,50.6631,50.6631,41.2356,50.6416,50.6416,41.2009,50.623,50.623,41.2171,50.623,50.62255,41.209,4.87673,1.2688,6.1876,47.83704,-1433,-142,-553.131,373.945,3.84358
426,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.4707,50.4707,41.2532,50.5488,50.5488,41.3342,50.5361,50.5361,41.2727,50.5186,50.5186,41.284,50.510,50.50975,41.278,5.9284,1.02773,6.09277,35.8952,-1725,-78,-649.222,433.111,5.76847
427,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.2739,50.2739,41.3181,50.2959,50.2959,41.3792,50.293,50.293,41.3508,50.269,50.269,41.3543,50.285,50.2849,41.353,3.75145,1.08779,4.08077,15.11846,-1777,40,-875.03,527.665,3.4487
428,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.332,50.332,41.9341,50.417,50.417,41.9094,50.3704,50.3704,41.916,50.3772,50.3772,41.9326,50.375,50.3745,41.924,4.02435,1.02859,4.1394,111.30449,-2379,-406,-1618.66,562.423,3.9125
429,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,yes,"ESP_018857_2225, ESP_019358_2225",ESP_018857_2225_ESP_019358_2225_RED_ANAGLYPH,,50.5,50.5,42.3093,50.5625,50.5625,42.1643,50.5273,50.5273,42.2268,50.5439,50.5439,42.2366,50.531,50.53125,42.232,9.02137,0.93174,8.40554,162.27974,-1502,-524,-728.684,237.557,9.68232
430,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,no,,,,50.3188,50.3188,42.2605,50.2832,50.2832,42.1775,50.3066,50.3066,42.2122,50.3228,50.3228,42.2044,50.301,50.301,42.208,5.16175,0.84828,4.3786,197.63426,-1809,-533,-889.698,395.842,6.08497
431,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,yes,ESP_023604_2230,,,50.2759,50.2759,42.4539,50.2024,50.2024,42.5388,50.2402,50.2402,42.5025,50.2195,50.2195,42.4942,50.239,50.23915,42.498,5.96992,1.02972,6.14735,327.47407,-2314,-676,-1665.42,440.521,5.79762
432,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,yes,"ESP_023604_2230, ESP_035287_2225",,,50.332,50.332,42.4414,50.2651,50.2651,42.5781,50.3069,50.3069,42.531,50.2896,50.2896,42.523,50.299,50.29855,42.527,8.61354,0.89212,7.68432,340.18508,-1861,-524,-908.676,400.891,9.65511
433,P22_009653_2224_XN_42N309W,H1523_0000_DA4,75,yes,ESP_035287_2225,,,50.4485,50.4485,42.4966,50.4976,50.4976,42.531,50.4814,50.4814,42.5034,50.4666,50.4666,42.5257,50.473,50.47305,42.515,2.95956,1.47144,4.3548,46.43783,-2524,-518,-1574.03,643.19,2.01134
434,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,49.6445,49.6445,42.041,49.6833,49.6833,42.083,49.6748,49.6748,42.0452,49.6453,49.6453,42.0718,49.664,49.6639,42.059,3.01864,2.04231,6.16501,34.43148,-1821,-268,-1549.54,369.194,1.47805
435,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,49.5637,49.5637,42.065,49.5576,49.5576,42.0957,49.5684,49.5684,42.0813,49.5544,49.5544,42.0796,49.561,49.56065,42.080,1.83931,0.62407,1.14786,351.61287,-2073,-316,-1532.11,472.111,2.94729
436,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,yes,"ESP_025305_222, ESP_025582_2225",ESP_025582_2225_ESP_025305_2225_RED_ANAGLYPH,,49.7166,49.7166,41.9385,49.7634,49.7634,42,49.7471,49.7471,41.9634,49.7349,49.7349,41.9741,49.740,49.74,41.969,4.18819,0.83143,3.48217,29.48503,-1725,-257,-851.026,472.212,5.03735
437,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,yes,"ESP_025305_222, ESP_025582_2225",ESP_025582_2225_ESP_025305_2225_RED_ANAGLYPH,,49.762,49.762,41.9141,49.8032,49.8032,41.9641,49.7874,49.7874,41.9351,49.769,49.769,41.9485,49.783,49.7826,41.942,3.47597,1.13529,3.94621,31.49191,-1806,-335,-1027.11,429.004,3.06176
438,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,49.4951,49.4951,42.0203,49.3657,49.3657,42.0625,49.436,49.436,42.0528,49.4316,49.4316,42.0354,49.430,49.4304,42.044,6.22099,1.04935,6.52799,293.75076,-1907,-258,-994.003,548.77,5.92842
439,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,49.4211,49.4211,41.9478,49.3826,49.3826,41.8611,49.4048,49.4048,41.9009,49.4167,49.4167,41.8997,49.402,49.40185,41.900,5.41221,0.52978,2.86727,198.30137,-2044,-247,-1126.39,498.328,10.21598
440,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,49.2375,49.2375,44.6216,49.2378,49.2378,44.6685,49.2605,49.2605,44.6499,49.2192,49.2192,44.6475,49.238,49.23765,44.649,2.77986,1.74731,4.85728,0.26065,-2819,-1683,-2445.38,253.619,1.59093
441,P15_007003_2246_XN_44N310W,H1523_0000_DA4,75,no,,,,48.6426,48.6426,45.3489,48.6792,48.6792,45.4485,48.7124,48.7124,45.3777,48.6289,48.6289,45.4109,48.661,48.6609,45.394,6.09678,3.99385,24.3496,14.4552,-2413,-855,-1730.85,438.05,1.52654
442,P19_008440_2275_XN_47N310W,H1523_0000_DA4,75,no,,,,49.2703,49.2703,48.7849,49.1929,49.1929,48.7932,49.2361,49.2361,48.8035,49.2324,49.2324,48.7752,49.232,49.2316,48.789,3.06224,1.68359,5.15556,279.2738,-3270,-2832,-3114.66,105.444,1.81887
443,P19_008440_2275_XN_47N310W,H1523_0000_DA4,75,no,,,,49.29,49.29,48.8174,49.2131,49.2131,48.8369,49.2532,49.2532,48.8377,49.2458,49.2458,48.8086,49.252,49.25155,48.823,3.21556,1.7488,5.62338,291.09458,-3141,-1705,-2514.68,386.525,1.83872
444,P21_009297_2274_XI_47N310W,H1523_0000_DA4,75,yes,PSP_010431_2265,,,49.3501,49.3501,46.0686,49.3901,49.3901,45.9885,49.3647,49.3647,46.0134,49.3843,49.3843,46.0222,49.370,49.3701,46.018,5.0249,0.96067,4.82726,160.86333,-2131,-775,-1768.15,319.862,5.23064
445,P21_009297_2274_XI_47N310W,H1523_0000_DA4,75,yes,"PSP_010431_2265, ESP_025727_2265_RED",,,49.2485,49.2485,46.0584,49.2529,49.2529,45.9778,49.2642,49.2642,46.0139,49.2798,49.2798,46.0203,49.251,49.2507,46.017,4.78071,0.74579,3.56538,177.82741,-2338,-246,-1355.37,601.313,6.41029
446,P21_009297_2274_XI_47N310W,H1523_0000_DA4,75,yes,PSP_010431_2265,,,49.3301,49.3301,46.1536,49.3594,49.3594,46.2058,49.3535,49.3535,46.176,49.334,49.334,46.1858,49.345,49.34475,46.181,3.31942,0.98884,3.28237,21.22781,-2346,-209,-1490.6,679.23,3.35689
447,B03_010642_2208_XN_40N310W,H1523_0000_DA4,75,no,,,,49.1848,49.1848,41.6006,49.2266,49.2266,41.5955,49.2053,49.2053,41.5908,49.2065,49.2065,41.6045,49.206,49.2057,41.598,1.87726,0.81376,1.52763,99.25249,-2100,-1025,-1706.09,298.144,2.3069
448,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,yes,"ESP_019635_220, ESP_019780_2205",ESP_019635_2205_ESP_019780_2205_RED_ANAGLYPH,,49.0371,49.0371,40.3596,49.084,49.084,40.427,49.0752,49.0752,40.3899,49.0552,49.0552,40.4031,49.061,49.06055,40.397,4.52123,1.19464,5.40123,27.90687,-1299,-332,-586.361,298.844,3.7846
449,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,yes,ESP_019780_2205,,,48.9272,48.9272,40.3841,48.9849,48.9849,40.4695,48.9736,48.9736,40.4187,48.9478,48.9478,40.4343,48.956,48.95605,40.427,5.69203,1.48662,8.4619,27.19914,-1356,-274,-576.577,276.926,3.82884
450,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.7212,48.7212,40.4378,48.7603,48.7603,40.5139,48.7603,48.7603,40.4661,48.7246,48.7246,40.4822,48.741,48.74075,40.474,4.84281,1.87124,9.06206,21.33463,-1357,-180,-543.372,347.64,2.58802
451,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,yes,ESP_019490_2210,,,48.5354,48.5354,40.7166,48.5447,48.5447,40.678,48.5312,48.5312,40.6946,48.5439,48.5439,40.698,48.540,48.54005,40.696,2.32573,0.60525,1.40765,169.64507,-1414,-211,-612.155,388.115,3.8426
452,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.4766,48.4766,41.0965,48.3813,48.3813,41.2532,48.4487,48.4487,41.1824,48.4009,48.4009,41.157,48.429,48.42895,41.170,10.21472,2.61055,26.666,335.43443,-1695,29,-537.904,551.937,3.91287
453,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.6526,48.6526,41.179,48.6526,48.6526,41.23,48.6597,48.6597,41.2053,48.6453,48.6453,41.2053,48.653,48.6526,41.205,3.02284,0.64214,1.94109,0,-1824,18,-758.891,646.08,4.70745
454,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.4268,48.4268,42.1546,48.4355,48.4355,42.1228,48.4199,48.4199,42.136,48.4434,48.4434,42.1414,48.431,48.43115,42.139,1.92323,1.08131,2.07959,168.52915,-2271,-664,-1690.82,439.075,1.77861
455,P15_006858_2226_XN_42N311W,H1545_0000_DA4,75,no,,,,48.2048,48.2048,42.7949,48.2114,48.2114,42.7566,48.1997,48.1997,42.7744,48.2156,48.2156,42.7769,48.208,48.2081,42.776,2.28818,0.70744,1.61876,172.78878,-1744,-447,-1178.8,381.305,3.23444
456,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.5283,48.5283,42.6111,48.5459,48.5459,42.6834,48.5469,48.5469,42.6399,48.5269,48.5269,42.6438,48.537,48.5371,42.642,4.35347,0.90212,3.92736,10.14541,-1776,-354,-1039.5,383.032,4.82581
457,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.4253,48.4253,43.093,48.386,48.386,43.1406,48.416,48.416,43.1223,48.3975,48.3975,43.1067,48.406,48.40565,43.115,3.29409,1.22297,4.02858,328.93696,-1979,-554,-1087.78,409.693,2.69351
458,P15_006858_2226_XN_42N311W,H1545_0000_DA4,75,no,,,,48.1592,48.1592,42.927,48.1917,48.1917,42.9407,48.1819,48.1819,42.9253,48.1755,48.1755,42.9434,48.175,48.17545,42.934,1.6274,1.10818,1.80345,60.05725,-1739,-416,-900.587,428.343,1.46854
459,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.4507,48.4507,43.429,48.5376,48.5376,43.4346,48.4998,48.4998,43.4182,48.4968,48.4968,43.4436,48.494,48.49415,43.431,3.75509,1.51102,5.67402,84.89902,-2484,-1479,-2131.58,211.641,2.48513
460,P15_006858_2226_XN_42N311W,H1523_0000_DA4,75,no,,,,48.4839,48.4839,43.4744,48.5288,48.5288,43.4829,48.5154,48.5154,43.471,48.509,48.509,43.4856,48.506,48.50635,43.478,1.99575,0.90809,1.81231,75.3626,-2571,-1134,-2189.56,361.871,2.19775
461,P16_007359_2220_XN_42N311W,H1523_0000_DA4,75,no,,,,48.9966,48.9966,41.5393,49.0137,49.0137,41.4839,49.0034,49.0034,41.5083,49.0183,49.0183,41.5115,49.005,49.00515,41.510,3.3702,0.688,2.31868,166.97985,-1740,-164,-822.838,396.448,4.89859
462,P16_007359_2220_XN_42N311W,H1523_0000_DA4,75,no,,,,49.0718,49.0718,41.5208,49.1223,49.1223,41.4817,49.0933,49.0933,41.4937,49.104,49.104,41.5108,49.097,49.09705,41.502,3.22432,1.11931,3.60903,135.93546,-1800,-112,-1074.92,522.339,2.88062
463,B05_011631_2208_XI_40N311W,H1545_0000_DA4,75,no,,,,48.3105,48.3105,40.8445,48.3379,48.3379,40.6941,48.3311,48.3311,40.7605,48.3633,48.3633,40.7478,48.324,48.3242,40.754,8.99887,1.62998,14.66795,172.13534,-859,-39,-214.986,193.015,5.52085
464,P15_006713_2212_XN_41N312W,H1545_0000_DA4,75,no,,,,47.8809,47.8809,40.4099,47.8555,47.8555,40.5286,47.8921,47.8921,40.469,47.8667,47.8667,40.4763,47.868,47.8682,40.473,7.12813,1.22426,8.72669,350.76217,-1063,161,-147.686,306.51,5.82239
465,P15_006713_2212_XN_41N312W,H1545_0000_DA4,75,no,,,,47.9285,47.9285,40.9441,47.9785,47.9785,40.9065,47.9497,47.9497,40.9197,47.9587,47.9587,40.9331,47.954,47.9535,40.926,3.1592,0.89065,2.81374,134.84816,-1429,205,-806.398,554.363,3.54708
466,P15_006713_2212_XN_41N312W,H1545_0000_DA4,75,no,,,,47.8503,47.8503,40.9168,47.8247,47.8247,40.8311,47.8376,47.8376,40.8679,47.8508,47.8508,40.8645,47.838,47.8375,40.866,5.20752,0.62505,3.25494,192.73646,-1636,178,-923.554,384.993,8.33142
467,P15_006713_2212_XN_41N312W,H1545_0000_DA4,75,no,,,,47.8118,47.8118,40.9553,47.7273,47.7273,41.0003,47.7664,47.7664,40.9839,47.7593,47.7593,40.969,47.770,47.76955,40.976,4.62724,0.93856,4.34292,305.22649,-1810,207,-759.977,600.913,4.93018
468,P15_006713_2212_XN_41N312W,H1545_0000_DA4,75,no,,,,48.0305,48.0305,40.4915,48.0181,48.0181,40.5325,48.0327,48.0327,40.5166,48.0156,48.0156,40.513,48.024,48.0243,40.515,2.49354,0.79953,1.99366,347.05478,-1098,97,-397.932,374.87,3.11875
469,P17_007504_2284_XN_48N312W,H1523_0000_DA4,75,yes,ESP_016233_2295,,,48.3735,48.3735,48.9129,48.4128,48.4128,48.8855,48.3887,48.3887,48.8953,48.3948,48.3948,48.905,48.393,48.39315,48.900,2.23212,0.62212,1.38865,136.6688,-3006,-2340,-2681.94,193.954,3.5879
470,P17_007504_2284_XN_48N312W,H1523_0000_DA4,75,yes,ESP_016233_2295,,,48.3335,48.3335,48.8916,48.3818,48.3818,48.8679,48.3586,48.3586,48.8723,48.3691,48.3691,48.8867,48.358,48.35765,48.880,2.34901,0.94657,2.22349,126.70937,-3153,-2507,-2952.86,155.754,2.48161
471,P17_007504_2284_XN_48N312W,H1523_0000_DA4,75,no,,,,48.334,48.334,48.9319,48.2334,48.2334,48.8914,48.2695,48.2695,48.926,48.2817,48.2817,48.9021,48.284,48.2837,48.914,4.59559,1.49417,6.86661,238.54817,-3135,-1379,-2294.41,457.58,3.07568
472,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.3291,47.3291,43.273,47.3171,47.3171,43.3858,47.3667,47.3667,43.332,47.3381,47.3381,43.3328,47.323,47.3231,43.332,6.7058,1.23395,8.2746,355.57909,-1242,-65,-485.312,322.238,5.43444
473,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.4158,47.4158,43.3403,47.4551,47.4551,43.386,47.4414,47.4414,43.3565,47.4329,47.4329,43.3653,47.435,47.43545,43.361,3.19452,0.63736,2.03605,32.00023,-1657,-61,-854.279,465.784,5.01215
474,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.4819,47.4819,43.3345,47.5051,47.5051,43.3513,47.4961,47.4961,43.3394,47.4905,47.4905,43.3474,47.494,47.4935,43.343,1.41125,0.53208,0.7509,45.11525,-2012,-69,-1183.05,581.622,2.65234
475,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.2363,47.2363,44.0232,47.397,47.397,44.0032,47.3223,47.3223,44.0027,47.3257,47.3257,44.0276,47.317,47.31665,44.015,6.95194,1.48296,10.30942,99.76208,-1232,-458,-653.602,165.138,4.68789
476,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.3159,47.3159,44.1873,47.4028,47.4028,44.198,47.3647,47.3647,44.1863,47.3608,47.3608,44.2083,47.359,47.35935,44.197,3.7471,1.31446,4.92541,80.22539,-1702,-520,-1321.6,391.211,2.85068
477,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,no,,,,47.2573,47.2573,44.219,47.3262,47.3262,44.2771,47.3022,47.3022,44.2434,47.2817,47.2817,44.2591,47.292,47.29175,44.251,4.51845,1.27414,5.75712,40.32323,-1682,-461,-945.853,414.706,3.54628
478,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,yes,ESP_026782_2245,,,47.4302,47.4302,44.4046,47.4648,47.4648,44.3191,47.4487,47.4487,44.3606,47.4727,47.4727,44.3606,47.448,47.4475,44.361,5.27554,1.01703,5.36539,163.85168,-1688,-589,-963.221,370.48,5.1872
479,P17_007715_2232_XN_43N312W,H1545_0000_DA4,75,yes,ESP_026782_2245,,,47.5244,47.5244,44.3501,47.5388,47.5388,44.2945,47.5342,47.5342,44.3201,47.5469,47.5469,44.3208,47.532,47.5316,44.320,3.35158,0.54014,1.81034,169.49775,-1881,-650,-1201.5,313.688,6.20499
480,P03_002032_2220_XN_42N313W,H1545_0000_DA4,75,no,,,,46.2515,46.2515,41.5352,46.3167,46.3167,41.5298,46.2852,46.2852,41.5239,46.2871,46.2871,41.5442,46.284,46.2841,41.534,2.91053,1.20616,3.51057,96.29185,-2402,-1099,-1926.35,352.254,2.41306
481,P16_007425_2220_XN_42N313W,H1545_0000_DA4,75,no,,,,46.6309,46.6309,42.6174,46.6343,46.6343,42.5735,46.6284,46.6284,42.593,46.6406,46.6406,42.594,46.633,46.6326,42.594,2.60624,0.53563,1.39597,176.73572,-1103,39,-458.209,425.148,4.86579
482,P17_007570_2244_XN_44N313W,H1545_0000_DA4,75,no,,,,47.1875,47.1875,42.3259,47.2075,47.2075,42.3826,47.2173,47.2173,42.3611,47.1885,47.1885,42.3723,47.198,47.1975,42.367,3.47299,1.42526,4.94991,14.60332,-1180,-157,-471.219,298.797,2.43674
483,B04_011275_2252_XN_45N313W,H1545_0000_DA4,75,no,,,,46.8313,46.8313,43.3382,46.8777,46.8777,43.273,46.8523,46.8523,43.2952,46.873,46.873,43.3045,46.855,46.8545,43.300,4.35197,1.04936,4.56677,152.60551,-1119,-14,-431.505,299.8,4.14727
