Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
11,P22_009697_2293_XN_49N072W,H5401_0000_DA4,100,no,,,,287.6733,-72.3267,47.9339,287.6245,-72.3755,47.8538,287.6289,-72.3711,47.8967,287.668,-72.332,47.8894,287.649,-72.3511,47.893,5.12848,1.61304,8.27247,202.23803,-1615,-1030,-1374.9,134.59,3.17938
12,P22_009697_2293_XN_49N072W,H5401_0000_DA4,100,no,,,,287.7822,-72.2178,47.8982,287.7861,-72.2139,47.8548,287.7637,-72.2363,47.8738,287.7871,-72.2129,47.8777,287.784,-72.21585,47.876,2.57705,0.95857,2.47029,176.54934,-1753,-985,-1367.72,238.076,2.68842
13,P20_008906_2083_XN_28N073W,none,none,no,,,,286.4167,-73.5833,30.0542,286.4236,-73.5764,30.0401,286.4165,-73.5835,30.0452,286.4226,-73.5774,30.0476,286.420,-73.57985,30.046,0.90761,0.34378,0.31202,157.04085,-795,332,1.6075,389.598,2.64009
14,B01_009908_2298_XI_49N073W,H5401_0000_DA4,100,no,,,,287.5439,-72.4561,48.1892,287.5303,-72.4697,48.2576,287.5762,-72.4238,48.2273,287.5049,-72.4951,48.2244,287.537,-72.4629,48.226,4.08958,2.82062,11.53514,352.45924,-2213,-1414,-1603.74,199.676,1.44989
15,P02_001865_2292_XI_49N076W,none,none,no,,,,283.9717,-76.0283,48.9046,284.0464,-75.9536,48.9324,284.0142,-75.9858,48.906,284.0078,-75.9922,48.927,284.009,-75.99095,48.917,3.34369,1.26942,4.24453,60.44755,-3148,-1998,-2767.71,266.291,2.63403
16,P15_006823_2288_XN_48N077W,none,none,no,,,,282.8018,-77.1982,48.4788,282.8801,-77.1199,48.5381,282.8418,-77.1582,48.4983,282.824,-77.176,48.5183,282.841,-77.15905,48.508,4.66984,1.37615,6.42641,41.14949,-2485,-1309,-1745,379.971,3.3934
17,P15_006823_2288_XN_48N077W,H3272_0000_DA4,75,,,,,283.0642,-76.9358,47.9854,283.1299,-76.8701,47.9776,283.1011,-76.8989,47.9766,283.1062,-76.8938,47.9927,283.097,-76.90295,47.985,2.6473,0.97548,2.58239,100.03315,-2733,-1141,-2050.4,441.588,2.71383
18,B07_012374_2222_XI_42N077W,H2913_0000_DA4,175,no,,,,282.4707,-77.5293,41.7634,282.6807,-77.3193,41.8328,282.5708,-77.4292,41.7688,282.5527,-77.4473,41.8313,282.576,-77.4243,41.800,10.15007,3.78981,38.46682,66.02253,-65,1126,638.02,323.882,2.67826
19,B01_009895_2405_XN_60N079W,none,none,yes,ESP_016264_2405,,,280.2554,-79.7446,60.2903,280.416,-79.584,60.2761,280.3125,-79.6875,60.2591,280.3228,-79.6772,60.3074,280.336,-79.6643,60.283,4.79316,2.87876,13.79835,100.04352,-4744,-3142,-3862.16,464.877,1.66501
20,B01_009895_2405_XN_60N079W,none,none,yes,ESP_016264_2405,,,280.2993,-79.7007,60.1096,280.4546,-79.5454,60.1663,280.3936,-79.6064,60.1243,280.375,-79.625,60.1482,280.377,-79.62305,60.136,5.68332,1.51923,8.63427,53.68159,-4612,-2971,-3617.34,426.992,3.74091
