HeadX,HeadY,CentreX,CentreY,TerminiX,TerminiY,LeftMidChX,LeftMidChY,RightMidChX,RightMidChY,Length_km,Width_km,Area_kmsq,Orientation,CatNumber,CentreLong,CentreLat,DTMtile,DTMres,HiRISE,HiRISEANAGLYPH,HiRISEDTM
-3704666,2933285,-3705154,2932023,-3705642,2930873,-3704512,2931768,-3705720,2932248,2.551,1.132,2.886,199.0,29,-81.5987,49.4650,H1528_0000_DA4,75,,,
-3714356,2846762,-3716461,2848149,-3718565,2849222,-3717257,2847254,-3716172,2849080,4.421,2.057,9.091,303.8,30,-81.8477,48.0500,H1528_0000_DA4,75,,,
-3757679,2734869,-3763532,2734994,-3769385,2735077,-3765303,2734176,-3765126,2735770,10.590,1.602,16.969,271.2,31,-82.8843,46.1410,H3316_0001_DA4,75,,,
-3759827,2725984,-3763918,2723554,-3768009,2722890,-3764131,2722831,-3764372,2724307,8.043,1.492,12.000,247.4,32,-82.8928,45.9480,H3316_0001_DA4,75,,,
-3718547,2839904,-3721517,2843467,-3724486,2845233,-3721462,2843117,-3721172,2843781,7.440,0.711,5.288,315.8,33,-81.9590,47.9710,H1528_0000_DA4,75,,,
-3716749,2918846,-3716903,2917501,-3717058,2916606,-3716172,2917198,-3717480,2917761,2.256,1.249,2.818,186.7,34,-81.8574,49.2200,H1528_0000_DA4,75,,,
-3800766,2305507,-3800800,2307031,-3800834,2308560,-3801188,2307096,-3800402,2306983,3.053,0.806,2.460,358.7,35,-83.7051,38.9210,H1550_0000_DA4,75,PSP_005663_2195,,
-3798740,2305478,-3798756,2306912,-3798772,2308779,-3799217,2306924,-3798273,2306912,3.302,0.959,3.167,359.4,36,-83.6601,38.9190,H1550_0000_DA4,75,ESP_027855_2195,,
-3797097,2305460,-3797203,2306912,-3797310,2308489,-3797587,2306912,-3796897,2306965,3.037,0.703,2.135,355.9,37,-83.6259,38.9190,H1550_0000_DA4,75,ESP_027855_2195,,
-3767941,2706708,-3769251,2698718,-3770561,2693857,-3767677,2698374,-3771001,2699067,13.071,3.118,40.750,190.6,38,-83.0103,45.5290,H3316_0001_DA4,75,ESP_029411_2255,,
-3807009,2647291,-3800534,2649046,-3794059,2649087,-3801088,2651108,-3800557,2647001,12.154,4.137,50.280,81.4,39,-83.6992,44.6910,H5286_0000_DA4,50,,,
-3800779,2657302,-3795934,2653373,-3791089,2651488,-3795657,2654700,-3797451,2652039,10.696,3.138,33.563,122.9,40,-83.5979,44.7640,H5286_0000_DA4,50,,,
-3792597,2673514,-3791223,2675660,-3789850,2677331,-3791598,2676318,-3790158,2674990,4.579,1.876,8.590,33.5,41,-83.4942,45.1400,H5286_0000_DA4,50,,,
-3794704,2675192,-3793330,2677082,-3791957,2678635,-3793905,2677533,-3792751,2676668,4.272,1.370,5.851,36.3,42,-83.5406,45.1640,H5286_0000_DA4,50,"ESP_017741_2255, ESP_016673_2255",ESP_016673_2255_ESP_017741_2255_RED_ANAGLYPH,
-3822352,2686566,-3825390,2693798,-3828428,2699186,-3825453,2693341,-3824345,2694266,13.792,1.373,18.933,336.2,43,-84.2466,45.4460,H5286_0000_DA4,50,PSP_007232_2260,,
-3831574,2722688,-3830698,2720472,-3829822,2718806,-3830067,2720774,-3831129,2720199,4.196,1.124,4.714,157.7,44,-84.3635,45.8960,H5286_0000_DA4,50,,,
-3818293,2698492,-3817973,2702274,-3817652,2705611,-3818760,2702280,-3817362,2702280,7.142,1.278,9.125,4.7,45,-84.0833,45.5890,H5286_0000_DA4,50,,,
-3816499,2660503,-3816322,2659893,-3816145,2659502,-3816100,2660011,-3816631,2659810,1.054,0.531,0.560,161.9,46,-84.0469,44.8740,H5286_0000_DA4,50,,,
-3827696,2746938,-3830943,2747797,-3834190,2748503,-3831774,2747406,-3831729,2748242,6.055,0.837,5.067,285.0,47,-84.3689,46.3570,H5286_0000_DA4,50,,,
-3831751,2299805,-3834755,2297428,-3837759,2294073,-3834503,2296622,-3835674,2298210,8.382,1.986,16.648,226.9,48,-84.4529,38.7590,H1550_0000_DA4,75,,,
-3826607,2207852,-3822472,2206145,-3818338,2205683,-3822638,2207360,-3823038,2204900,8.863,2.495,22.111,104.1,49,-84.1824,37.2190,H1550_0000_DA4,75,,,
-3832219,2600357,-3831193,2600025,-3830167,2599551,-3831029,2600334,-3831297,2599765,2.093,0.622,1.303,112.6,50,-84.3744,43.8640,H5286_0000_DA4,50,,,
-3816077,2538261,-3822195,2533460,-3828314,2529263,-3821644,2532938,-3822198,2534011,14.784,1.197,17.697,232.6,51,-84.1763,42.7410,H5286_0000_DA4,50,,,
-3842640,2279865,-3843609,2279883,-3844579,2280458,-3843657,2279486,-3843580,2280309,2.068,0.828,1.712,286.7,52,-84.6479,38.4630,H1550_0000_DA4,75,,,
-3881903,2262669,-3890263,2254039,-3898622,2249125,-3889309,2252770,-3890594,2255319,21.879,2.871,62.811,231.9,53,-85.6753,38.0270,H1550_0000_DA4,75,,,
-3891816,2597625,-3896039,2599433,-3900261,2600867,-3897732,2597826,-3895140,2601069,8.586,4.058,34.842,292.3,54,-85.8025,43.8540,H5304_0000_DA4,50,,,
-3881195,2601389,-3883157,2604412,-3885118,2607352,-3885250,2603677,-3881726,2605123,7.011,3.614,25.338,328.3,55,-85.5188,43.9380,H5304_0000_DA4,50,,,
-3890771,2578929,-3891802,2575841,-3892833,2572818,-3890662,2575486,-3892878,2576149,6.415,2.202,14.127,197.7,56,-85.7092,43.4560,H5304_0000_DA4,50,,,
-3876895,2580228,-3880730,2574952,-3884564,2571864,-3877272,2573488,-3880995,2576470,11.079,4.620,51.182,221.0,57,-85.4654,43.4410,H5304_0000_DA4,50,,,
-3871437,2588597,-3867325,2587044,-3863214,2585177,-3867251,2588307,-3868313,2585788,8.487,2.712,23.014,113.7,58,-85.1702,43.6450,H5304_0000_DA4,50,"ESP_028910_2240, ESP_016739_2240",,
-3906282,2075990,-3905894,2076808,-3905506,2077744,-3905992,2076944,-3905715,2076713,1.941,0.376,0.729,25.3,59,-86.0196,35.0370,H5322_0000_DA4,75,,,
-3955136,2400121,-3951833,2400566,-3948529,2401740,-3951898,2401307,-3951721,2399801,6.754,1.516,10.237,76.1,60,-87.0313,40.4990,H5340_0000_DA4,75,,,
-3954096,2393779,-3952566,2393690,-3951036,2393927,-3952166,2394218,-3952166,2393204,3.047,1.014,3.088,87.2,61,-87.0474,40.3830,H5340_0000_DA4,75,,,
-3951390,2445360,-3948929,2448875,-3946468,2450712,-3949060,2449379,-3948352,2448424,7.207,1.180,8.506,42.0,62,-86.9673,41.3140,H5340_0000_DA4,75,,,
-3919705,2284957,-3921700,2285395,-3923696,2286243,-3921666,2284986,-3921426,2285822,4.272,0.871,3.721,287.5,63,-86.3677,38.5560,H5322_0000_DA4,75,,,
-3889995,2383133,-3895371,2382902,-3900747,2385475,-3895562,2382143,-3895253,2383625,10.969,1.513,16.601,282.4,64,-85.7878,40.2010,H5322_0000_DA4,75,,,
-3884142,2393145,-3887668,2396357,-3891194,2397632,-3887003,2395747,-3886739,2396938,8.322,1.220,10.151,302.7,65,-85.6182,40.4280,H5304_0000_DA4,50,,,
-3897469,2543833,-3900112,2544485,-3902754,2545226,-3900552,2543691,-3900153,2545238,5.240,1.593,8.350,285.5,66,-85.8922,42.9270,H5322_0000_DA4,75,,,
-3912935,2572504,-3915600,2572522,-3918265,2573209,-3915950,2571822,-3915813,2573227,5.104,1.411,7.200,278.0,67,-86.2333,43.4000,H5322_0000_DA4,75,,,
-3914742,2257323,-3916994,2255936,-3919246,2254857,-3917003,2255556,-3917216,2256274,5.245,0.750,3.934,242.0,68,-86.2640,38.0590,H5322_0000_DA4,75,,,
-3956280,2174735,-3955247,2175678,-3954214,2176988,-3955336,2175956,-3954764,2175381,3.122,0.830,2.592,43.8,69,-87.1065,36.7050,H5340_0000_DA4,75,,,
-4109824,2389731,-4104393,2385629,-4098963,2382896,-4103040,2389322,-4105569,2381972,12.797,7.770,99.428,122.2,70,-90.3911,40.2470,H5376_0000_DA4,75,ESP_017148_2205,,
-4131333,2069695,-4131002,2070821,-4130670,2072048,-4131229,2070916,-4130784,2070714,2.458,0.517,1.271,16.8,71,-90.9771,34.9360,H5081_0000_DA4_(partial),75,,,
-4117275,2351291,-4118594,2349175,-4119914,2346430,-4117961,2348807,-4118828,2349554,5.537,1.148,6.356,208.6,72,-90.7039,39.6320,none,none,,,
-4119051,2360384,-4110580,2358481,-4102109,2357544,-4110269,2363045,-4110623,2353958,17.226,9.093,156.642,99.4,73,-90.5274,39.7890,H5376_0000_DA4,75,,,
-4178489,2305590,-4180384,2308038,-4182280,2311180,-4181172,2306924,-4179333,2309093,6.787,2.862,19.425,325.5,74,-92.0647,38.9380,H5081_0000_DA4,75,,,
-4139134,2356649,-4141895,2356643,-4144656,2356560,-4141931,2356128,-4141886,2357141,5.541,1.015,5.622,269.1,75,-91.2170,39.7580,H5081_0000_DA4,75,,,
-4161543,2301382,-4160212,2300332,-4158882,2299532,-4160312,2300570,-4160553,2300107,3.278,0.523,1.715,124.3,76,-91.6204,38.8080,H5081_0000_DA4,75,,,
-4162474,2299633,-4161640,2299088,-4160807,2298139,-4161752,2299254,-4161951,2298951,2.260,0.364,0.823,131.4,77,-91.6519,38.7870,H5081_0000_DA4,75,,,
-4163813,2298471,-4163491,2296776,-4163168,2295668,-4163613,2296924,-4164635,2296663,2.879,1.072,3.087,166.8,78,-91.6926,38.7480,H5081_0000_DA4,75,,,
-4703440,2271750,-4703272,2272236,-4703104,2272639,-4703571,2272307,-4702899,2272171,0.953,0.701,0.669,21.2,79,-103.5802,38.3340,none,none,ESP_025614_2185,,
-4916158,1979698,-4916020,1980131,-4915881,1980545,-4916312,1980261,-4915695,1980006,0.900,0.720,0.647,19.6,80,-108.2656,33.4060,none,none,,,
-5049573,2661807,-5049012,2662738,-5048451,2663645,-5049895,2662951,-5048288,2662483,2.110,1.558,3.286,29.4,81,-111.1945,44.9220,H5405_0000_DA4,50,,,
-5025607,2470504,-5025369,2471221,-5025130,2471743,-5025662,2471334,-5024781,2471162,1.323,0.876,1.159,20.6,82,-110.6738,41.6910,none,none,,,
-5492278,2035997,-5492521,2036619,-5492764,2037105,-5492800,2036483,-5492360,2036714,1.226,0.528,0.647,334.7,83,-120.9619,34.3590,H1316_0000_DA4,100,"PSP_010345_2150 (note, uahirise.org says it's a tectonic graben)",,
-5891810,2193004,-5889985,2194823,-5888160,2196074,-5890167,2195150,-5889635,2194497,4.889,0.855,4.182,51.1,84,-129.7152,37.0280,none,none,,,
-5897518,2231153,-5897057,2234063,-5896596,2236233,-5897409,2234134,-5896619,2233974,5.168,0.832,4.298,10.6,85,-129.8710,37.6900,none,none,,,
-5942380,2203223,-5944621,2208753,-5946862,2218907,-5945886,2208083,-5943093,2209417,16.359,3.193,52.233,343.5,86,-130.9185,37.2630,H0037_0000_DA4,50,"PSP_002632_2175,PSP_001656_2175",PSP_002632_2175_PSP_001656_2175_RED_ANAGLYPH,
-5940832,2126581,-5936275,2123160,-5931719,2119462,-5935219,2123658,-5935733,2122645,11.988,1.150,13.785,126.4,87,-130.7347,35.8190,H0037_0000_DA4,50,,,
-5938325,2125484,-5934722,2122745,-5931119,2119349,-5933980,2123315,-5934534,2122123,9.789,1.328,12.999,128.8,88,-130.7005,35.8120,H0037_0000_DA4,50,,,
-5957115,2244656,-5956449,2246748,-5955784,2248574,-5957047,2246914,-5956116,2246523,4.151,1.035,4.298,19.3,89,-131.1790,37.9040,H0037_0000_DA4,50,,,
-5913846,2723382,-5914096,2725154,-5914346,2726826,-5914491,2724899,-5913129,2725462,3.473,1.358,4.717,352.5,90,-130.2462,45.9750,H5380_0000_DA4,75,PSP_005902_2265 (uahirise.org suggests it is a graben),,
-5931918,2133569,-5930343,2131577,-5928767,2129941,-5930211,2131939,-5930697,2131198,4.924,0.901,4.438,137.4,91,-130.6040,35.9610,H0037_0000_DA4,50,,,
-5928744,2133948,-5928624,2132229,-5928504,2131008,-5928113,2132123,-5928844,2132283,2.951,0.789,2.327,175.1,92,-130.5662,35.9720,H0037_0000_DA4,50,,,
-5973298,2234372,-5974220,2235071,-5975141,2235996,-5974342,2234692,-5974015,2235444,2.502,0.825,2.064,310.5,93,-131.5703,37.7070,H0037_0000_DA4,50,,,
-6079178,2276463,-6078231,2277808,-6077284,2280268,-6078138,2277867,-6077393,2277778,4.269,0.767,3.273,27.0,94,-133.8610,38.4280,none,none,,,
-6086784,2277879,-6087045,2279112,-6087306,2280037,-6087669,2279065,-6086752,2279165,2.223,0.943,2.096,346.1,95,-134.0551,38.4500,none,none,,,
-6072508,2251265,-6067651,2250838,-6062795,2254104,-6065079,2251733,-6064988,2249996,10.386,1.739,18.062,74.1,96,-133.6280,37.9730,none,none,,,
-6075722,2275567,-6075484,2277630,-6075246,2279936,-6076054,2277719,-6074932,2277547,4.395,1.160,5.098,6.4,97,-133.8005,38.4250,none,none,,,
