CatNum,HiRISE_img,ContainsArr
1269,"ESP_030045_1340_COLOR,ESP_030045_1340_RED","0,0"
1268,"ESP_012955_1340_COLOR,ESP_012955_1340_RED","0,0"
1256,"ESP_023039_1415_COLOR,ESP_023039_1415_RED","0,0"
1144,"PSP_008256_1400_COLOR,PSP_008256_1400_RED,ESP_035037_1400_COLOR,ESP_035037_1400_RED,ESP_038070_1390_RED,ESP_048026_1400_COLOR,ESP_048026_1400_RED,ESP_057903_1390_COLOR,ESP_057903_1390_RED","0,0,0,0,0,0,0,0,0"
344,"ESP_036078_2190_COLOR,ESP_036078_2190_RED,ESP_054961_2185_COLOR,ESP_054961_2185_RED,ESP_056082_2185_RED","0,0,0,0,0"
345,"PSP_005737_2185_RED,ESP_036078_2190_COLOR,ESP_036078_2190_RED","0,0,0"
346,"ESP_045098_2175_COLOR,ESP_045098_2175_RED","0,0"
347,"ESP_027085_2175_COLOR,ESP_027085_2175_RED,ESP_045098_2175_COLOR,ESP_045098_2175_RED,ESP_046654_2185_COLOR,ESP_046654_2185_RED","0,0,0,0,0,0"
340,"PSP_008308_2160_COLOR,PSP_008308_2160_RED,PSP_008888_2160_COLOR,PSP_008888_2160_RED,ESP_033599_2160_COLOR,ESP_033599_2160_RED","0,0,0,0,0,0"
341,"PSP_008308_2160_COLOR,PSP_008308_2160_RED,PSP_008888_2160_COLOR,PSP_008888_2160_RED,ESP_033599_2160_COLOR,ESP_033599_2160_RED","0,0,0,0,0,0"
342,"ESP_016180_2225_RED,PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,0,0"
343,"ESP_016180_2225_RED,PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,0,0"
348,"ESP_046654_2185_COLOR,ESP_046654_2185_RED","0,0"
349,"ESP_058667_2195_COLOR,ESP_058667_2195_RED","0,0"
816,"ESP_031758_1295_COLOR,ESP_031758_1295_RED","0,0"
817,"ESP_044193_1430_COLOR,ESP_044193_1430_RED,ESP_048584_1430_RED","0,0,0"
719,"ESP_056954_2200_COLOR,ESP_056954_2200_RED","0,0"
718,"PSP_003510_2165_RED,PSP_003576_2165_RED,ESP_042238_2170_COLOR,ESP_042238_2170_RED,PSP_003510_2165_COLOR,PSP_003576_2165_COLOR","0,0,0,0,0,0"
717,"ESP_033785_2175_COLOR,ESP_033785_2175_RED,ESP_042238_2170_COLOR,ESP_042238_2170_RED","0,0,0,0"
716,"ESP_016076_2175_COLOR,ESP_016076_2175_RED,ESP_016221_2175_COLOR,ESP_016221_2175_RED,ESP_033785_2175_COLOR,ESP_033785_2175_RED,ESP_034695_2175_COLOR,ESP_034695_2175_RED,ESP_034972_2175_COLOR,ESP_034972_2175_RED,ESP_035618_2175_COLOR,ESP_035618_2175_RED,ESP_036884_2175_COLOR,ESP_036884_2175_RED,ESP_043306_2175_COLOR,ESP_043306_2175_RED,ESP_052655_2175_COLOR,ESP_052655_2175_RED,ESP_057020_2180_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
715,"ESP_016076_2175_COLOR,ESP_016076_2175_RED,ESP_016221_2175_COLOR,ESP_016221_2175_RED,ESP_033785_2175_COLOR,ESP_033785_2175_RED,ESP_034972_2175_RED,ESP_035618_2175_COLOR,ESP_035618_2175_RED,ESP_036884_2175_COLOR,ESP_036884_2175_RED,ESP_052655_2175_COLOR,ESP_052655_2175_RED,ESP_057020_2180_COLOR,ESP_057020_2180_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
712,"ESP_025781_2220_COLOR,ESP_025781_2220_RED,ESP_036264_2225_COLOR,ESP_036264_2225_RED","0,0,0,0"
710,"PSP_006134_2145_COLOR,PSP_006134_2145_RED,ESP_032572_2145_COLOR,ESP_032572_2145_RED","0,0,0,0"
1267,"PSP_005465_1310_RED,PSP_004832_1310_COLOR,PSP_004832_1310_RED,PSP_005465_1310_COLOR","0,0,0,0"
1265,"ESP_013165_1275_COLOR,ESP_013165_1275_RED,ESP_013244_1275_COLOR,ESP_013244_1275_RED,ESP_013877_1270_COLOR,ESP_013877_1270_RED,ESP_011398_1275_COLOR,ESP_011398_1275_RED,AEB_000001_0150_RED,PSP_005333_1275_RED,PSP_006691_1270_COLOR,PSP_006691_1270_RED,PSP_003289_1280_RED,PSP_003711_1275_RED,PSP_004845_1275_RED,PSP_006902_1275_COLOR,PSP_006902_1275_RED,ESP_028870_1275_COLOR,ESP_028870_1275_RED,PSP_003289_1280_COLOR,PSP_004845_1275_COLOR,PSP_003711_1275_COLOR,PSP_005333_1275_COLOR","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1264,"ESP_013165_1275_COLOR,ESP_013165_1275_RED,ESP_013244_1275_COLOR,ESP_013244_1275_RED,ESP_013877_1270_COLOR,ESP_013877_1270_RED,ESP_011398_1275_COLOR,ESP_011398_1275_RED,AEB_000001_0150_RED,PSP_005333_1275_RED,PSP_006691_1270_COLOR,PSP_006691_1270_RED,PSP_002155_1270_RED,PSP_003711_1275_RED,PSP_003922_1275_RED,PSP_004344_1275_RED,PSP_004845_1275_RED,PSP_006902_1275_COLOR,PSP_006902_1275_RED,ESP_028870_1275_COLOR,ESP_028870_1275_RED,PSP_004845_1275_COLOR,PSP_003711_1275_COLOR,PSP_003922_1275_COLOR,PSP_002155_1270_COLOR,PSP_005333_1275_COLOR","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
594,"ESP_036369_2170_COLOR,ESP_036369_2170_RED,ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_049371_2175_COLOR,ESP_049371_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0,0,0,0,0"
1068,"ESP_054973_1405_COLOR,ESP_054973_1405_RED","0,0"
916,"ESP_016863_1460_COLOR,ESP_016863_1460_RED","0,0"
1061,"ESP_051782_1385_COLOR,ESP_051782_1385_RED","0,0"
911,"ESP_016665_1405_COLOR,ESP_016665_1405_RED,ESP_017232_1405_COLOR,ESP_017232_1405_RED,ESP_019289_1410_RED","0,0,0,0,0"
1063,"ESP_023141_1435_COLOR,ESP_023141_1435_RED,ESP_023642_1435_COLOR,ESP_023642_1435_RED","0,0,0,0"
1062,"ESP_045756_1390_COLOR,ESP_045756_1390_RED,ESP_051782_1385_COLOR,ESP_051782_1385_RED,ESP_055685_1390_RED","0,0,0,0,0"
1064,"ESP_024486_1435_COLOR,ESP_024486_1435_RED","0,0"
619,"ESP_014414_2205_COLOR,ESP_014414_2205_RED,PSP_006806_2215_COLOR,PSP_006806_2215_RED,PSP_007096_2215_COLOR,PSP_007096_2215_RED,PSP_007808_2200_COLOR,PSP_007808_2200_RED,ESP_019728_2205_COLOR,ESP_019728_2205_RED,ESP_042778_2225_COLOR,ESP_042778_2225_RED,ESP_052127_2225_COLOR,ESP_052127_2225_RED,ESP_056083_2200_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
910,"ESP_016612_1345_COLOR,ESP_016612_1345_RED,ESP_057477_1350_COLOR,ESP_057477_1350_RED","0,0,0,0"
1258,"PSP_006794_1420_RED,ESP_023039_1415_COLOR,ESP_023039_1415_RED","0,0,0"
298,"ESP_027665_2225_RED,ESP_028931_2225_COLOR,ESP_028931_2225_RED,ESP_035036_2225_COLOR,ESP_035036_2225_RED,ESP_056649_2225_RED","0,0,0,0,0,0"
296,"ESP_059603_2145_COLOR,ESP_059603_2145_RED","0,0"
297,"ESP_058970_2215_COLOR,ESP_058970_2215_RED","0,0"
294,"ESP_013793_2140_COLOR,ESP_013793_2140_RED","0,0"
912,"PSP_007435_1360_COLOR,PSP_007435_1360_RED","0,0"
292,PSP_006251_2125_RED,0
293,"PSP_006251_2125_COLOR,PSP_006251_2125_RED","0,0"
591,"ESP_056439_2225_COLOR,ESP_056439_2225_RED","0,0"
590,ESP_026532_2175_RED,0
593,"ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_049371_2175_COLOR,ESP_049371_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0,0,0"
592,"ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0"
199,"PSP_007884_2195_RED,ESP_044410_2195_COLOR,ESP_044410_2195_RED,ESP_058467_2195_COLOR,ESP_058467_2195_RED","0,0,0,0,0"
198,"ESP_012446_2195_COLOR,ESP_012446_2195_RED,PSP_001858_2195_RED,PSP_004192_2195_RED,PSP_004469_2195_RED,PSP_006961_2195_COLOR,PSP_006961_2195_RED,PSP_007884_2195_COLOR,PSP_007884_2195_RED,PSP_004192_2195_COLOR,ESP_055249_2195_RED,ESP_056647_2195_RED,ESP_058467_2195_RED","0,0,0,0,0,0,0,0,0,0,0,0,0"
1081,"ESP_020794_1420_COLOR,ESP_020794_1420_RED,ESP_020860_1420_COLOR,ESP_020860_1420_RED","0,0,0,0"
596,"ESP_049226_2175_RED,ESP_049371_2175_COLOR,ESP_049371_2175_RED","0,0,0"
195,"PSP_010257_2205_COLOR,PSP_010257_2205_RED,PSP_010679_2205_COLOR,PSP_010679_2205_RED,ESP_028652_2210_COLOR,ESP_028652_2210_RED","0,0,0,0,0,0"
194,"PSP_010257_2205_RED,PSP_010679_2205_COLOR,PSP_010679_2205_RED,ESP_028652_2210_COLOR,ESP_028652_2210_RED,ESP_056172_2205_RED","0,0,0,0,0,0"
197,"PSP_001528_2210_RED,PSP_010257_2205_COLOR,PSP_010257_2205_RED,PSP_010679_2205_RED,ESP_026542_2210_COLOR,ESP_026542_2210_RED,ESP_028652_2210_COLOR,ESP_028652_2210_RED","0,0,0,0,0,0,0,0"
196,"PSP_001528_2210_RED,PSP_002214_2210_RED,PSP_010257_2205_COLOR,PSP_010257_2205_RED,ESP_026542_2210_COLOR,ESP_026542_2210_RED,ESP_028652_2210_COLOR,ESP_028652_2210_RED","0,0,0,0,0,0,0,0"
191,PSP_007500_2235_RED,0
1125,"ESP_047590_1520_COLOR,ESP_047590_1520_RED,ESP_048658_1520_COLOR,ESP_048658_1520_RED,ESP_051849_1520_COLOR,ESP_051849_1520_RED,ESP_052271_1520_COLOR,ESP_052271_1520_RED,ESP_057757_1520_COLOR,ESP_057757_1520_RED","0,0,0,0,0,0,0,0,0,0"
193,"ESP_013487_2190_COLOR,ESP_013487_2190_RED,PSP_002266_2190_RED,PSP_002411_2190_RED,ESP_020001_2190_COLOR,ESP_020001_2190_RED,ESP_036563_2190_COLOR,ESP_036563_2190_RED,ESP_045939_2190_COLOR,ESP_045939_2190_RED,PSP_002266_2190_COLOR,PSP_002411_2190_COLOR","0,0,0,0,0,0,0,0,0,0,0,0"
192,"ESP_017324_2145_COLOR,ESP_017324_2145_RED,PSP_007171_2145_COLOR,PSP_007171_2145_RED,PSP_008753_2145_COLOR,PSP_008753_2145_RED","0,0,0,0,0,0"
272,"ESP_012883_2135_COLOR,ESP_012883_2135_RED,ESP_013160_2135_COLOR,ESP_013160_2135_RED,ESP_014162_2135_RED,ESP_020597_2135_COLOR,ESP_020597_2135_RED","0,0,0,0,0,0,0"
273,"ESP_014162_2135_COLOR,ESP_014162_2135_RED,ESP_020597_2135_COLOR,ESP_020597_2135_RED","0,0,0,0"
275,"ESP_043159_2145_COLOR,ESP_043159_2145_RED,ESP_043792_2145_COLOR,ESP_043792_2145_RED","0,0,0,0"
277,"ESP_045335_2155_COLOR,ESP_045335_2155_RED,ESP_046258_2160_COLOR,ESP_046258_2160_RED","0,0,0,0"
279,"ESP_016272_2140_COLOR,ESP_016272_2140_RED","0,0"
1067,"ESP_054973_1405_COLOR,ESP_054973_1405_RED","0,0"
525,"PSP_005843_2260_RED,PSP_008269_2250_COLOR,PSP_008269_2250_RED,ESP_036817_2255_RED,ESP_037595_2255_COLOR,ESP_037595_2255_RED,ESP_044505_2265_RED,ESP_046193_2265_COLOR,ESP_046193_2265_RED,ESP_046971_2260_COLOR,ESP_046971_2260_RED,PSP_005843_2260_COLOR,ESP_056254_2250_COLOR,ESP_056254_2250_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
526,"ESP_016431_2260_RED,ESP_040813_2255_COLOR,ESP_040813_2255_RED,ESP_052720_2250_COLOR,ESP_052720_2250_RED,ESP_058483_2255_COLOR,ESP_058483_2255_RED","0,0,0,0,0,0,0"
527,"ESP_016141_2260_COLOR,ESP_016141_2260_RED,ESP_016431_2260_COLOR,ESP_016431_2260_RED,ESP_018831_2255_COLOR,ESP_018831_2255_RED,ESP_027956_2255_COLOR,ESP_027956_2255_RED,ESP_036817_2255_COLOR,ESP_036817_2255_RED,ESP_037595_2255_COLOR,ESP_037595_2255_RED,ESP_040813_2255_COLOR,ESP_040813_2255_RED,ESP_049107_2255_COLOR,ESP_049107_2255_RED,ESP_051797_2260_COLOR,ESP_051797_2260_RED,ESP_052285_2255_COLOR,ESP_052285_2255_RED,ESP_052509_2255_COLOR,ESP_052509_2255_RED,ESP_052720_2250_COLOR,ESP_052720_2250_RED,ESP_058483_2255_COLOR,ESP_058483_2255_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1018,"ESP_015994_1380_COLOR,ESP_015994_1380_RED,ESP_016561_1375_COLOR,ESP_016561_1375_RED,PSP_005195_1380_RED,PSP_007832_1385_COLOR,PSP_007832_1385_RED,ESP_027110_1380_COLOR,ESP_027110_1380_RED,ESP_043224_1380_COLOR,ESP_043224_1380_RED,ESP_046468_1380_COLOR,ESP_046468_1380_RED,ESP_047180_1375_COLOR,ESP_047180_1375_RED,ESP_048248_1380_COLOR,ESP_048248_1380_RED,ESP_048749_1375_COLOR,ESP_048749_1375_RED,ESP_048960_1385_COLOR,ESP_048960_1385_RED,ESP_049105_1385_COLOR,ESP_049105_1385_RED,ESP_057149_1380_COLOR,ESP_057149_1380_RED,ESP_058481_1380_COLOR,ESP_058481_1380_RED,ESP_060736_1385_COLOR,ESP_060736_1385_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
521,"ESP_016286_2210_COLOR,ESP_016286_2210_RED,PSP_006199_2205_COLOR,PSP_006199_2205_RED,ESP_034694_2210_COLOR,ESP_034694_2210_RED,ESP_051942_2210_COLOR,ESP_051942_2210_RED,ESP_053577_2210_COLOR,ESP_053577_2210_RED,ESP_055489_2210_COLOR,ESP_055489_2210_RED,ESP_056531_2210_COLOR,ESP_056531_2210_RED,ESP_057296_2200_COLOR,ESP_057296_2200_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1014,"PSP_003217_1355_RED,ESP_021875_1350_COLOR,ESP_021875_1350_RED,ESP_024697_1350_COLOR,ESP_024697_1350_RED,ESP_024710_1350_COLOR,ESP_024710_1350_RED,ESP_029576_1350_COLOR,ESP_029576_1350_RED,ESP_036525_1350_COLOR,ESP_036525_1350_RED,ESP_045334_1350_COLOR,ESP_045334_1350_RED,ESP_046112_1350_COLOR,ESP_046112_1350_RED,ESP_046890_1355_RED,ESP_055751_1350_RED,ESP_057083_1350_COLOR,ESP_057083_1350_RED,ESP_057426_1350_COLOR,ESP_057426_1350_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1015,"PSP_003217_1355_RED,ESP_021875_1350_COLOR,ESP_021875_1350_RED,ESP_024697_1350_COLOR,ESP_024697_1350_RED,ESP_024710_1350_COLOR,ESP_024710_1350_RED,ESP_029576_1350_COLOR,ESP_029576_1350_RED,ESP_036525_1350_COLOR,ESP_036525_1350_RED,ESP_045334_1350_COLOR,ESP_045334_1350_RED,ESP_046112_1350_COLOR,ESP_046112_1350_RED,ESP_046890_1355_COLOR,ESP_046890_1355_RED,PSP_003217_1355_COLOR,ESP_055751_1350_RED,ESP_057083_1350_COLOR,ESP_057083_1350_RED,ESP_057426_1350_COLOR,ESP_057426_1350_RED,ESP_059470_1345_COLOR,ESP_059470_1345_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1016,"ESP_015994_1380_RED,ESP_048749_1375_RED","0,0"
1017,"ESP_027110_1380_COLOR,ESP_027110_1380_RED,ESP_048248_1380_COLOR,ESP_048248_1380_RED,ESP_048749_1375_RED,ESP_058481_1380_COLOR,ESP_058481_1380_RED","0,0,0,0,0,0,0"
528,"ESP_016431_2260_RED,ESP_040813_2255_COLOR,ESP_040813_2255_RED,ESP_052285_2255_COLOR,ESP_052285_2255_RED,ESP_052509_2255_COLOR,ESP_052509_2255_RED","0,0,0,0,0,0,0"
529,"ESP_040813_2255_COLOR,ESP_040813_2255_RED,ESP_052285_2255_COLOR,ESP_052285_2255_RED,ESP_052509_2255_COLOR,ESP_052509_2255_RED","0,0,0,0,0,0"
1013,"ESP_047391_1345_COLOR,ESP_047391_1345_RED,ESP_059971_1350_COLOR,ESP_059971_1350_RED","0,0,0,0"
1234,"ESP_035526_1375_COLOR,ESP_035526_1375_RED","0,0"
1235,"ESP_035526_1375_COLOR,ESP_035526_1375_RED","0,0"
449,"ESP_019635_2205_COLOR,ESP_019635_2205_RED,ESP_019780_2205_COLOR,ESP_019780_2205_RED,ESP_024448_2205_COLOR,ESP_024448_2205_RED,ESP_046140_2205_COLOR,ESP_046140_2205_RED,ESP_056689_2210_COLOR,ESP_056689_2210_RED","0,0,0,0,0,0,0,0,0,0"
448,"ESP_019635_2205_COLOR,ESP_019635_2205_RED,ESP_019780_2205_COLOR,ESP_019780_2205_RED,ESP_024448_2205_COLOR,ESP_024448_2205_RED,ESP_046140_2205_COLOR,ESP_046140_2205_RED,ESP_056689_2210_COLOR,ESP_056689_2210_RED","0,0,0,0,0,0,0,0,0,0"
1230,"ESP_039100_1330_COLOR,ESP_039100_1330_RED","0,0"
1231,"PSP_002772_1205_COLOR,PSP_002772_1205_RED,ESP_018951_1205_COLOR,ESP_018951_1205_RED,ESP_020151_1205_COLOR,ESP_020151_1205_RED,ESP_021641_1205_COLOR,ESP_021641_1205_RED,ESP_022775_1205_COLOR,ESP_022775_1205_RED,ESP_023065_1205_COLOR,ESP_023065_1205_RED,ESP_028142_1205_COLOR,ESP_028142_1205_RED,ESP_028564_1205_COLOR,ESP_028564_1205_RED,ESP_028775_1205_COLOR,ESP_028775_1205_RED,ESP_029131_1205_COLOR,ESP_029131_1205_RED,ESP_029698_1205_COLOR,ESP_029698_1205_RED,ESP_037003_1205_COLOR,ESP_037003_1205_RED,ESP_036858_1205_COLOR,ESP_036858_1205_RED,ESP_036792_1205_COLOR,ESP_036792_1205_RED,ESP_037214_1205_COLOR,ESP_037214_1205_RED,ESP_037636_1205_COLOR,ESP_037636_1205_RED,ESP_038058_1205_COLOR,ESP_038058_1205_RED,ESP_039232_1205_COLOR,ESP_039232_1205_RED,ESP_039799_1205_COLOR,ESP_039799_1205_RED,ESP_045245_1205_COLOR,ESP_045245_1205_RED,ESP_045311_1205_COLOR,ESP_045311_1205_RED,ESP_046445_1205_COLOR,ESP_046445_1205_RED,ESP_046801_1205_COLOR,ESP_046801_1205_RED,ESP_047012_1205_COLOR,ESP_047012_1205_RED,ESP_048370_1205_COLOR,ESP_048370_1205_RED,ESP_055174_1205_COLOR,ESP_055174_1205_RED,ESP_055385_1205_COLOR,ESP_055385_1205_RED,ESP_056018_1205_COLOR,ESP_056018_1205_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1232,"PSP_002772_1205_COLOR,PSP_002772_1205_RED,ESP_018951_1205_COLOR,ESP_018951_1205_RED,ESP_020151_1205_COLOR,ESP_020151_1205_RED,ESP_021641_1205_COLOR,ESP_021641_1205_RED,ESP_022775_1205_COLOR,ESP_022775_1205_RED,ESP_023065_1205_COLOR,ESP_023065_1205_RED,ESP_028142_1205_COLOR,ESP_028142_1205_RED,ESP_028564_1205_COLOR,ESP_028564_1205_RED,ESP_028775_1205_COLOR,ESP_028775_1205_RED,ESP_029131_1205_COLOR,ESP_029131_1205_RED,ESP_029698_1205_COLOR,ESP_029698_1205_RED,ESP_037003_1205_COLOR,ESP_037003_1205_RED,ESP_036858_1205_COLOR,ESP_036858_1205_RED,ESP_036792_1205_COLOR,ESP_036792_1205_RED,ESP_037214_1205_COLOR,ESP_037214_1205_RED,ESP_037636_1205_COLOR,ESP_037636_1205_RED,ESP_038058_1205_COLOR,ESP_038058_1205_RED,ESP_039232_1205_COLOR,ESP_039232_1205_RED,ESP_039799_1205_COLOR,ESP_039799_1205_RED,ESP_045245_1205_COLOR,ESP_045245_1205_RED,ESP_045311_1205_COLOR,ESP_045311_1205_RED,ESP_046445_1205_COLOR,ESP_046445_1205_RED,ESP_046801_1205_COLOR,ESP_046801_1205_RED,ESP_047012_1205_COLOR,ESP_047012_1205_RED,ESP_048370_1205_COLOR,ESP_048370_1205_RED,ESP_055174_1205_COLOR,ESP_055174_1205_RED,ESP_055385_1205_COLOR,ESP_055385_1205_RED,ESP_056018_1205_COLOR,ESP_056018_1205_RED","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1233,"PSP_007677_1380_COLOR,PSP_007677_1380_RED","0,0"
441,"ESP_046430_2260_COLOR,ESP_046430_2260_RED,ESP_046496_2260_COLOR,ESP_046496_2260_RED,ESP_055014_2265_COLOR,ESP_055014_2265_RED","0,0,0,0,0,0"
1066,"ESP_054973_1405_COLOR,ESP_054973_1405_RED","0,0"
447,ESP_057797_2220_RED,0
446,"PSP_010431_2265_COLOR,PSP_010431_2265_RED,ESP_025727_2265_COLOR,ESP_025727_2265_RED,ESP_049977_2265_COLOR,ESP_049977_2265_RED","0,0,0,0,0,0"
445,"ESP_040272_2260_COLOR,ESP_040272_2260_RED,ESP_049977_2265_COLOR,ESP_049977_2265_RED","0,0,0,0"
444,"PSP_010431_2265_COLOR,PSP_010431_2265_RED,ESP_036909_2265_RED,ESP_040272_2260_COLOR,ESP_040272_2260_RED,ESP_049977_2265_COLOR,ESP_049977_2265_RED","0,0,0,0,0,0,0"
108,"ESP_023677_2140_COLOR,ESP_023677_2140_RED,ESP_045936_2145_COLOR,ESP_045936_2145_RED,ESP_056551_2145_RED","0,0,0,0,0"
102,"PSP_006232_2190_COLOR,PSP_006232_2190_RED","0,0"
103,"PSP_006232_2190_COLOR,PSP_006232_2190_RED","0,0"
100,"PSP_004399_2195_RED,PSP_010240_2195_COLOR,PSP_010240_2195_RED","0,0,0"
106,"ESP_049628_2160_COLOR,ESP_049628_2160_RED,ESP_056208_2165_RED","0,0,0"
107,"ESP_049628_2160_COLOR,ESP_049628_2160_RED,ESP_056208_2165_RED,ESP_057250_2165_COLOR,ESP_057250_2165_RED","0,0,0,0,0"
105,"ESP_059650_2200_COLOR,ESP_059650_2200_RED","0,0"
