CatNum,HiRISE_img,ContainsArr
1200,H2441_0000_DA4.IMG,1
1269,H2501_0000_DA4.IMG,1
1273,H2224_0000_DA4.IMG,1
1256,H1932_0000_DA4.IMG,1
1257,H1932_0000_DA4.IMG,1
344,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
345,H5281_0000_DA4.IMG,1
346,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","1,1,0"
347,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
340,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
341,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
342,H2908_0000_DA4.IMG,0
343,H2908_0000_DA4.IMG,0
810,H2530_0001_DA4.IMG,1
811,H2530_0001_DA4.IMG,1
812,H2530_0001_DA4.IMG,1
813,"H2486_0001_DA4.IMG,H2530_0001_DA4.IMG","0,1"
348,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","1,1,1"
349,"H2908_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","0,1,1"
816,H2541_0000_DA4.IMG,1
1260,H1932_0000_DA4.IMG,1
719,"H2192_0009_DA4.IMG,H5285_0000_DA4.IMG","1,1"
718,"H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG","1,1,0"
717,"H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG","1,1,0"
716,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5303_0000_DA4.IMG","1,1,1"
715,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG","1,1,1,1"
714,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG","1,1,1,1"
713,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG","1,1,1"
712,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG","1,1,1,1"
711,"H2192_0009_DA4.IMG,H5267_0000_DA4.IMG","1,1"
710,"H2192_0009_DA4.IMG,H5249_0000_DA4.IMG,H5267_0000_DA4.IMG","1,1,1"
915,H4180_0000_DA4.IMG,1
1267,H2475_0000_DA4.IMG,1
914,"H2220_0000_DA4.IMG,H2242_0000_DA4.IMG,H6501_0000_DA4.IMG","1,1,1"
606,"H1428_0000_DA4.IMG,H1644_0000_DA4.IMG","1,1"
917,"H0469_0000_DA4.IMG,H4235_0000_DA4.IMG","1,0"
1069,"H0022_0000_DA4.IMG,H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","0,1,1,1"
736,"H0376_0000_DA4.IMG,H2438_0000_DA4.IMG","0,1"
1061,H2466_0000_DA4.IMG,1
911,H2689_0001_DA4.IMG,1
1063,H0022_0000_DA4.IMG,1
1062,H2466_0000_DA4.IMG,1
1065,"H0022_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,1,0"
1064,H0022_0000_DA4.IMG,1
619,"H1428_0000_DA4.IMG,H1450_0000_DA4.IMG","1,1"
910,"H0280_0001_DA4.IMG,H2612_0000_DA4.IMG","1,1"
913,"H2220_0000_DA4.IMG,H6501_0000_DA4.IMG","1,1"
298,H1629_0000_DA4.IMG,1
299,H1629_0000_DA4.IMG,1
296,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
297,H1629_0000_DA4.IMG,1
294,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
295,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
292,H5173_0000_DA4.IMG,1
293,H5173_0000_DA4.IMG,1
290,H1629_0000_DA4.IMG,1
291,H1629_0000_DA4.IMG,1
591,"H1644_0000_DA4.IMG,H5328_0000_DA4.IMG","1,1"
1086,"H0506_0000_DA4.IMG,H2510_0001_DA4.IMG","1,1"
900,H6465_0000_DA4.IMG,1
1084,"H0506_0000_DA4.IMG,H2510_0001_DA4.IMG,H6437_0000_DA4.IMG","1,1,1"
199,H1526_0000_DA4.IMG,1
198,H1526_0000_DA4.IMG,1
597,"H1644_0000_DA4.IMG,H5328_0000_DA4.IMG","1,1"
1080,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,1,1"
195,H2878_0000_DA4.IMG,1
194,H2878_0000_DA4.IMG,1
197,H2878_0000_DA4.IMG,1
196,H2878_0000_DA4.IMG,1
1125,H0466_0000_DA4.IMG,1
1089,"H2510_0001_DA4.IMG,H6437_0000_DA4.IMG","1,1"
192,H1317_0000_DA4.IMG,1
270,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,1"
271,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,1"
272,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,1"
273,H1391_0000_DA4.IMG,1
274,H1391_0000_DA4.IMG,1
275,H1391_0000_DA4.IMG,1
276,H1391_0000_DA4.IMG,1
277,H1391_0000_DA4.IMG,1
278,H1629_0000_DA4.IMG,1
279,H1629_0000_DA4.IMG,1
738,"H0478_0000_DA4.IMG,H2438_0000_DA4.IMG,H2460_0001_DA4.IMG","0,0,1"
1067,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,1,1"
524,"H1351_0001_DA4.IMG,H1578_0000_DA4.IMG","1,1"
525,"H1351_0001_DA4.IMG,H1578_0000_DA4.IMG,H1600_0001_DA4.IMG","1,1,1"
526,"H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","1,1"
527,"H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","1,1"
521,H1578_0000_DA4.IMG,1
522,H1578_0000_DA4.IMG,1
523,H1578_0000_DA4.IMG,1
1014,H2345_0000_DA4.IMG,1
1015,H2345_0000_DA4.IMG,1
528,"H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","1,1"
529,"H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","1,1"
1013,H1887_0000_DA4.IMG,1
1234,H2694_0001_DA4.IMG,1
1235,H2694_0001_DA4.IMG,1
449,H1523_0000_DA4.IMG,1
448,H1523_0000_DA4.IMG,1
1230,"H2181_0001_DA4.IMG,H2650_0000_DA4.IMG","1,1"
1233,H2694_0001_DA4.IMG,1
443,"H1523_0000_DA4.IMG,H5371_0000_DA4.IMG","1,1"
442,"H1523_0000_DA4.IMG,H5371_0000_DA4.IMG","1,1"
441,"H1523_0000_DA4.IMG,H5407_0000_DA4.IMG","1,1"
440,H1523_0000_DA4.IMG,1
447,H1523_0000_DA4.IMG,1
446,"H1523_0000_DA4.IMG,H5371_0000_DA4.IMG","1,1"
445,"H1523_0000_DA4.IMG,H5371_0000_DA4.IMG","1,1"
444,"H1523_0000_DA4.IMG,H5371_0000_DA4.IMG","1,1"
102,H1210_0000_DA4.IMG,1
103,H1210_0000_DA4.IMG,1
101,H1210_0000_DA4.IMG,1
104,H1210_0000_DA4.IMG,1
105,H1232_0000_DA4.IMG,1
902,H2403_0001_DA4.IMG,1
903,H2403_0001_DA4.IMG,1
39,"H3316_0001_DA4.IMG,H1550_0000_DA4.IMG,H5286_0000_DA4.IMG","0,1,1"
38,"H3316_0001_DA4.IMG,H1550_0000_DA4.IMG","1,1"
906,H4330_0000_DA4.IMG,1
