CatNum,HiRISE_img,ContainsArr
1268,"ESP_012955_1340_COLOR,ESP_012955_1340_RED","0,0"
1144,"PSP_008256_1400_COLOR,PSP_008256_1400_RED,ESP_048026_1400_COLOR,ESP_048026_1400_RED","0,0,0,0"
344,ESP_056082_2185_RED,1
819,ESP_044193_1430_RED,0
340,"PSP_008308_2160_COLOR,PSP_008308_2160_RED,PSP_008888_2160_COLOR,PSP_008888_2160_RED","0,1,0,1"
341,"PSP_008308_2160_RED,PSP_008888_2160_RED,ESP_033599_2160_RED","1,1,0"
342,"PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,1"
343,"PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,1"
817,"ESP_044193_1430_COLOR,ESP_044193_1430_RED","0,1"
719,ESP_056954_2200_RED,0
718,"ESP_042238_2170_COLOR,ESP_042238_2170_RED","0,0"
717,"ESP_042238_2170_COLOR,ESP_042238_2170_RED","0,1"
716,"ESP_034695_2175_COLOR,ESP_034695_2175_RED,ESP_034972_2175_COLOR,ESP_034972_2175_RED,ESP_035618_2175_COLOR,ESP_035618_2175_RED,ESP_036884_2175_COLOR,ESP_036884_2175_RED","0,0,0,0,0,0,0,0"
715,"ESP_016076_2175_COLOR,ESP_016076_2175_RED,ESP_016221_2175_COLOR,ESP_016221_2175_RED,ESP_052655_2175_COLOR,ESP_052655_2175_RED","0,0,0,1,0,0"
710,"PSP_006134_2145_COLOR,PSP_006134_2145_RED","0,1"
916,ESP_016863_1460_RED,0
1061,"ESP_051782_1385_COLOR,ESP_051782_1385_RED","0,1"
1063,"ESP_023141_1435_COLOR,ESP_023141_1435_RED,ESP_023642_1435_COLOR,ESP_023642_1435_RED","0,1,0,1"
1064,"ESP_024486_1435_COLOR,ESP_024486_1435_RED","0,1"
910,"ESP_016612_1345_COLOR,ESP_016612_1345_RED","0,0"
1128,ESP_055436_1500_RED,0
593,"ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0"
592,ESP_049226_2175_RED,0
199,"ESP_044410_2195_COLOR,ESP_044410_2195_RED","0,1"
198,"PSP_004469_2195_RED,PSP_006961_2195_RED,PSP_007884_2195_RED","0,1,1"
596,"ESP_049371_2175_COLOR,ESP_049371_2175_RED","0,1"
195,PSP_010679_2205_RED,0
194,"PSP_010679_2205_COLOR,PSP_010679_2205_RED","0,1"
1125,"ESP_047590_1520_COLOR,ESP_047590_1520_RED,ESP_048658_1520_COLOR,ESP_048658_1520_RED,ESP_051849_1520_RED,ESP_052271_1520_RED,ESP_057757_1520_RED","0,0,0,0,0,0,0"
193,"ESP_013487_2190_COLOR,ESP_013487_2190_RED","0,1"
192,"PSP_007171_2145_RED,PSP_008753_2145_RED","0,0"
275,"ESP_043159_2145_COLOR,ESP_043159_2145_RED","0,0"
1018,"ESP_046468_1380_RED,ESP_048248_1380_RED,ESP_057149_1380_RED","0,0,0"
521,"PSP_006199_2205_RED,ESP_053577_2210_COLOR,ESP_053577_2210_RED","0,0,0"
1014,"ESP_036525_1350_COLOR,ESP_036525_1350_RED","0,0"
1015,"ESP_024697_1350_RED,ESP_036525_1350_RED","0,0"
1017,"ESP_058481_1380_COLOR,ESP_058481_1380_RED","0,0"
528,"ESP_040813_2255_COLOR,ESP_040813_2255_RED,ESP_052285_2255_COLOR,ESP_052285_2255_RED,ESP_052509_2255_COLOR,ESP_052509_2255_RED","0,1,0,1,0,1"
529,ESP_052285_2255_RED,0
1013,"ESP_059971_1350_COLOR,ESP_059971_1350_RED","0,0"
449,"ESP_019635_2205_RED,ESP_019780_2205_RED","0,0"
448,"ESP_019635_2205_COLOR,ESP_019635_2205_RED,ESP_019780_2205_COLOR,ESP_019780_2205_RED","0,1,0,1"
446,ESP_049977_2265_RED,0
