CatNum,HiRISE_img,ContainsArr
1200,"H2441_0000_ND3.JP2,HE044_0000_ND3.JP2,HE330_0000_ND3.JP2,HE372_0000_ND3.JP2,HE425_0000_ND3.JP2,HG491_0000_ND3.JP2","1,1,1,1,1,1"
1175,"H8676_0000_ND3.JP2,HE044_0000_ND3.JP2,HE330_0000_ND3.JP2,HE425_0000_ND3.JP2,HE680_0000_ND3.JP2,HG491_0000_ND3.JP2","1,1,1,1,1,1"
1269,"H0508_0000_ND3.JP2,H2501_0000_ND3.JP2,HD520_0000_ND3.JP2,HD940_0000_ND3.JP2,HE044_0000_ND3.JP2,HE150_0000_ND3.JP2,HG505_0000_ND3.JP2,HG591_0000_ND3.JP2","1,1,1,1,1,1,1,1"
1183,"H8676_0000_ND3.JP2,HE044_0000_ND3.JP2,HE330_0000_ND3.JP2,HE425_0000_ND3.JP2,HE680_0000_ND3.JP2,HG491_0000_ND3.JP2","1,1,1,1,1,1"
1268,"H2684_0000_ND3.JP2,H2728_0000_ND3.JP2,H6564_0000_ND3.JP2,H8730_0000_ND3.JP2,HD520_0000_ND3.JP2,HD940_0000_ND3.JP2,HE150_0000_ND3.JP2,HG505_0000_ND3.JP2,HG591_0000_ND3.JP2","0,1,1,1,1,1,1,1,1"
1256,"H1932_0000_ND3.JP2,H8708_0000_ND3.JP2,HC923_0000_ND3.JP2,HD969_0000_ND3.JP2,HE188_0000_ND3.JP2","1,1,1,1,1"
1144,"H2701_0000_ND3.JP2,H9262_0000_ND3.JP2,HA721_0000_ND3.JP2,HC750_0000_ND3.JP2,HD067_0000_ND3.JP2,HD940_0000_ND3.JP2,HE044_0000_ND3.JP2,HE330_0000_ND3.JP2,HE372_0000_ND3.JP2,HE425_0000_ND3.JP2,HE782_0000_ND3.JP2,HF120_0000_ND3.JP2,HF127_0000_ND3.JP2,HG491_0000_ND3.JP2,HG753_0000_ND3.JP2,HG848_0000_ND3.JP2","1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1"
1162,"H2701_0000_ND3.JP2,H2723_0000_ND3.JP2,H6502_0000_ND3.JP2,H6552_0000_ND3.JP2,HD940_0000_ND3.JP2,HE044_0000_ND3.JP2,HE270_0000_ND3.JP2,HE330_0000_ND3.JP2,HE372_0000_ND3.JP2,HE425_0000_ND3.JP2,HF120_0000_ND3.JP2,HG491_0000_ND3.JP2,HG563_0000_ND3.JP2,HG936_0000_ND3.JP2","1,1,1,0,1,1,1,1,1,1,1,1,1,1"
1218,"H0558_0000_ND3.JP2,H2595_0001_ND3.JP2,H4978_0000_ND3.JP2,HB445_0000_ND3.JP2,HE835_0000_ND3.JP2","1,1,1,1,0"
1145,"H2701_0000_ND3.JP2,H2723_0000_ND3.JP2,H8602_0000_ND3.JP2,H9255_0000_ND3.JP2,H9262_0000_ND3.JP2,HD067_0000_ND3.JP2,HD940_0000_ND3.JP2,HE044_0000_ND3.JP2,HE270_0000_ND3.JP2,HE330_0000_ND3.JP2,HE372_0000_ND3.JP2,HE425_0000_ND3.JP2,HG491_0000_ND3.JP2,HG753_0000_ND3.JP2","0,1,0,1,1,1,1,1,1,1,1,1,1,0"
344,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H5281_0000_ND3.JP2,H7432_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,1,1,1,1,1,1"
345,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H5281_0000_ND3.JP2,H7432_0000_ND3.JP2,H7457_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,0,1,1,1,1,1,1"
346,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H2908_0000_ND3.JP2,H5281_0000_ND3.JP2,H5299_0000_ND3.JP2,H7432_0000_ND3.JP2,H7457_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,0,0,0,0,0,1,1,1,1,1,1"
347,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H5281_0000_ND3.JP2,H7432_0000_ND3.JP2,H7457_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,0,1,1,1,1,1,1"
340,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H5281_0000_ND3.JP2,H7432_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,1,1,1,1,1,1"
341,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H5281_0000_ND3.JP2,H7432_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,1,1,1,1,1,1"
342,"H2853_0000_ND3.JP2,H2864_0000_ND3.JP2,H2908_0000_ND3.JP2,H5281_0000_ND3.JP2,H5299_0000_ND3.JP2,HD366_0000_ND3.JP2,HD408_0000_ND3.JP2,HD511_0000_ND3.JP2,HG188_0000_ND3.JP2,HG957_0000_ND3.JP2,HG969_0000_ND3.JP2","1,1,1,1,0,1,1,1,1,1,1"
