CatNum,HiRISE_img,ContainsArr
1269,ESP_030045_1340_RED,0
1268,"ESP_012955_1340_COLOR,ESP_012955_1340_RED","0,0"
1144,"PSP_008256_1400_COLOR,PSP_008256_1400_RED,ESP_048026_1400_COLOR,ESP_048026_1400_RED","0,0,0,0"
344,"ESP_036078_2190_COLOR,ESP_036078_2190_RED,ESP_056082_2185_RED","0,0,0"
345,"ESP_036078_2190_COLOR,ESP_036078_2190_RED","0,0"
346,ESP_045098_2175_RED,0
340,"PSP_008308_2160_COLOR,PSP_008308_2160_RED,PSP_008888_2160_COLOR,PSP_008888_2160_RED","0,0,0,0"
341,"PSP_008308_2160_COLOR,PSP_008308_2160_RED,PSP_008888_2160_COLOR,PSP_008888_2160_RED,ESP_033599_2160_COLOR,ESP_033599_2160_RED","0,0,0,0,0,0"
342,"PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,0"
343,"PSP_007451_2225_COLOR,PSP_007451_2225_RED","0,0"
348,"ESP_046654_2185_COLOR,ESP_046654_2185_RED","0,0"
817,"ESP_044193_1430_COLOR,ESP_044193_1430_RED","0,0"
719,"ESP_056954_2200_COLOR,ESP_056954_2200_RED","0,0"
718,"ESP_042238_2170_COLOR,ESP_042238_2170_RED","0,0"
717,"ESP_042238_2170_COLOR,ESP_042238_2170_RED","0,0"
716,"ESP_016221_2175_COLOR,ESP_016221_2175_RED,ESP_034695_2175_COLOR,ESP_034695_2175_RED,ESP_034972_2175_COLOR,ESP_034972_2175_RED,ESP_035618_2175_COLOR,ESP_035618_2175_RED,ESP_036884_2175_COLOR,ESP_036884_2175_RED","0,0,0,0,0,0,0,0,0,0"
715,"ESP_016076_2175_COLOR,ESP_016076_2175_RED,ESP_016221_2175_COLOR,ESP_016221_2175_RED,ESP_052655_2175_COLOR,ESP_052655_2175_RED,ESP_057020_2180_COLOR,ESP_057020_2180_RED","0,0,0,0,0,0,0,0"
710,"PSP_006134_2145_COLOR,PSP_006134_2145_RED","0,0"
1265,"ESP_013877_1270_COLOR,ESP_013877_1270_RED","0,0"
916,ESP_016863_1460_RED,0
1061,"ESP_051782_1385_COLOR,ESP_051782_1385_RED","0,0"
911,"ESP_016665_1405_COLOR,ESP_016665_1405_RED,ESP_017232_1405_COLOR,ESP_017232_1405_RED","0,0,0,0"
1063,"ESP_023141_1435_COLOR,ESP_023141_1435_RED,ESP_023642_1435_COLOR,ESP_023642_1435_RED","0,1,0,1"
1062,ESP_051782_1385_RED,0
1064,"ESP_024486_1435_COLOR,ESP_024486_1435_RED","0,0"
1067,"ESP_054973_1405_COLOR,ESP_054973_1405_RED","0,0"
910,"ESP_016612_1345_COLOR,ESP_016612_1345_RED","0,0"
296,ESP_059603_2145_RED,0
912,PSP_007435_1360_RED,0
1128,"ESP_055436_1500_COLOR,ESP_055436_1500_RED","0,0"
593,"ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_049371_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0,0"
592,"ESP_049226_2175_COLOR,ESP_049226_2175_RED,ESP_050004_2170_COLOR,ESP_050004_2170_RED","0,0,0,0"
199,"ESP_044410_2195_COLOR,ESP_044410_2195_RED","0,0"
594,"ESP_049226_2175_RED,ESP_049371_2175_RED","0,0"
596,"ESP_049371_2175_COLOR,ESP_049371_2175_RED","0,0"
195,PSP_010679_2205_RED,0
194,"PSP_010679_2205_COLOR,PSP_010679_2205_RED","0,0"
196,"PSP_010257_2205_RED,ESP_026542_2210_RED","0,0"
1124,"ESP_013727_1530_COLOR,ESP_013727_1530_RED,PSP_004273_1535_COLOR,PSP_004273_1535_RED","0,0,0,0"
