CatNum,HiRISE_img,ContainsArr
1087,H1592_0014_SR3.JP2,0
1086,H1592_0014_SR3.JP2,0
1085,"H1592_0014_SR3.JP2,H1592_0015_SR3.JP2","0,0"
1084,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","0,0,0"
1083,H1592_0013_SR3.JP2,0
1082,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2","0,0"
1081,H1592_0013_SR3.JP2,0
28,"H1528_0004_SR3.JP2,H1528_0005_SR3.JP2,H1528_0006_SR3.JP2","0,0,0"
1093,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2","0,1"
1089,"H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","0,0"
29,H1528_0005_SR3.JP2,0
64,H2574_0004_SR3.JP2,0
53,"H2574_0002_SR3.JP2,H2574_0004_SR3.JP2","0,0"
1090,"H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","0,0"
798,"H0165_0018_SR3.JP2,H0165_0019_SR3.JP2,H0165_0020_SR3.JP2","0,0,0"
26,"H1528_0001_SR3.JP2,H1528_0002_SR3.JP2,H1528_0003_SR3.JP2,H1528_0004_SR3.JP2,H1528_0005_SR3.JP2,H1528_0006_SR3.JP2,H1528_0007_SR3.JP2,H1528_0008_SR3.JP2","0,0,0,0,0,0,0,0"
27,"H1528_0003_SR3.JP2,H1528_0004_SR3.JP2,H1528_0005_SR3.JP2,H1528_0006_SR3.JP2","0,0,0,0"
48,H2574_0002_SR3.JP2,0
49,H2574_0001_SR3.JP2,0
46,H2574_0009_SR3.JP2,1
47,"H1550_0023_SR3.JP2,H1550_0024_SR3.JP2,H1550_0025_SR3.JP2,H2574_0010_SR3.JP2","0,0,0,1"
44,"H1550_0025_SR3.JP2,H1550_0026_SR3.JP2,H1550_0027_SR3.JP2,H1550_0028_SR3.JP2,H1550_0029_SR3.JP2,H1550_0030_SR3.JP2,H2574_0010_SR3.JP2","0,0,0,0,0,0,1"
45,"H2574_0009_SR3.JP2,H2574_0010_SR3.JP2","0,0"
42,H2574_0009_SR3.JP2,0
43,"H1550_0025_SR3.JP2,H1550_0026_SR3.JP2,H1550_0027_SR3.JP2,H1550_0028_SR3.JP2,H1550_0029_SR3.JP2,H1550_0030_SR3.JP2,H1550_0031_SR3.JP2,H1550_0032_SR3.JP2,H2574_0008_SR3.JP2,H2574_0009_SR3.JP2,H2574_0010_SR3.JP2","0,0,0,0,0,0,0,0,0,0,0"
40,"H1550_0031_SR3.JP2,H1550_0032_SR3.JP2,H1550_0033_SR3.JP2,H1550_0034_SR3.JP2,H1550_0035_SR3.JP2,H1550_0036_SR3.JP2,H2574_0009_SR3.JP2,H2574_0010_SR3.JP2","0,0,0,0,0,0,0,0"
41,H2574_0009_SR3.JP2,0
542,H1600_0008_SR3.JP2,0
5,H0262_0002_SR3.JP2,0
1292,"H1592_0014_SR3.JP2,H1592_0015_SR3.JP2","0,0"
1293,H1592_0014_SR3.JP2,0
1297,"H1592_0014_SR3.JP2,H1592_0015_SR3.JP2","0,0"
1099,H1592_0019_SR3.JP2,0
1295,H1592_0013_SR3.JP2,1
1094,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2","0,1"
1095,H1592_0013_SR3.JP2,1
1096,H1592_0013_SR3.JP2,1
1097,H1592_0013_SR3.JP2,1
771,"H0394_0001_SR3.JP2,H0394_0002_SR3.JP2,H0394_0003_SR3.JP2","0,0,0"
1091,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2","0,1"
1092,"H1592_0012_SR3.JP2,H1592_0013_SR3.JP2","0,1"
846,"H0266_0002_SR3.JP2,H0266_0003_SR3.JP2,H0266_0004_SR3.JP2,H0266_0005_SR3.JP2,H0266_0006_SR3.JP2,H0266_0007_SR3.JP2","0,0,0,0,0,0"
1098,"H1592_0014_SR3.JP2,H1592_0015_SR3.JP2","0,0"
845,"H0266_0003_SR3.JP2,H0266_0004_SR3.JP2,H0266_0005_SR3.JP2,H0266_0006_SR3.JP2,H0266_0007_SR3.JP2,H0266_0008_SR3.JP2","0,0,0,0,0,0"
148,"H1628_0002_SR3.JP2,H1628_0003_SR3.JP2,H1628_0004_SR3.JP2","0,0,0"
848,"H0266_0001_SR3.JP2,H0266_0002_SR3.JP2,H0266_0003_SR3.JP2,H0266_0004_SR3.JP2,H0266_0005_SR3.JP2","0,0,0,0,0"
124,"H1368_0005_SR3.JP2,H1368_0006_SR3.JP2,H1368_0007_SR3.JP2","0,0,0"
1088,H1592_0014_SR3.JP2,0
1072,H1592_0014_SR3.JP2,0
