CatNum,HiRISE_img,ContainsArr
1200,H2441_0000_DA4.IMG,1
1269,H2501_0000_DA4.IMG,1
1273,H2224_0000_DA4.IMG,1
1256,H1932_0000_DA4.IMG,1
1257,H1932_0000_DA4.IMG,1
344,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","0,1"
345,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","0,1,0"
346,"H2864_0000_DA4.IMG,H2908_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","1,0,0,0"
347,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","1,1,0"
340,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
341,"H2864_0000_DA4.IMG,H5281_0000_DA4.IMG","1,1"
342,"H2908_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","0,0,0"
343,"H2908_0000_DA4.IMG,H5299_0000_DA4.IMG","0,0"
810,H2530_0001_DA4.IMG,1
811,H2530_0001_DA4.IMG,1
812,H2530_0001_DA4.IMG,1
813,"H2486_0001_DA4.IMG,H2530_0001_DA4.IMG","0,0"
348,"H2864_0000_DA4.IMG,H2908_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","1,0,0,0"
349,"H2908_0000_DA4.IMG,H5281_0000_DA4.IMG,H5299_0000_DA4.IMG","0,0,0"
816,"H2508_0000_DA4.IMG,H2541_0000_DA4.IMG","0,0"
1260,H1932_0000_DA4.IMG,1
719,"H2192_0009_DA4.IMG,H5285_0000_DA4.IMG","1,1"
718,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG","0,1,0,0,0"
717,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG","0,1,0,0"
716,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG,H5321_0000_DA4.IMG","0,0,0,0,0"
715,"H1289_0000_DA4.IMG,H2192_0009_DA4.IMG,H5285_0000_DA4.IMG,H5303_0000_DA4.IMG,H5321_0000_DA4.IMG","0,0,0,0,0"
714,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG","1,1,1,0"
713,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG","1,1,1,0"
712,"H3304_0000_DA4.IMG,H2192_0009_DA4.IMG,H5267_0000_DA4.IMG,H5285_0000_DA4.IMG","0,1,1,0"
711,"H2192_0009_DA4.IMG,H5267_0000_DA4.IMG","1,1"
710,"H2192_0009_DA4.IMG,H5249_0000_DA4.IMG,H5267_0000_DA4.IMG","1,0,0"
915,H4180_0000_DA4.IMG,1
1267,H2475_0000_DA4.IMG,1
1265,H0416_0000_DA4.IMG,0
914,"H2220_0000_DA4.IMG,H2242_0000_DA4.IMG,H6501_0000_DA4.IMG,H6526_0000_DA4.IMG","0,0,1,0"
606,"H1428_0000_DA4.IMG,H1644_0000_DA4.IMG","1,1"
1264,H0416_0000_DA4.IMG,0
917,"H0469_0000_DA4.IMG,H4235_0000_DA4.IMG","0,0"
1069,"H0022_0000_DA4.IMG,H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","0,0,0,0"
736,"H0376_0000_DA4.IMG,H0445_0000_DA4.IMG,H2372_0001_DA4.IMG,H2383_0000_DA4.IMG,H2438_0000_DA4.IMG,H2460_0001_DA4.IMG","0,0,0,0,0,0"
1061,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG","0,1"
911,H2689_0001_DA4.IMG,1
1063,H0022_0000_DA4.IMG,1
1062,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG","0,0"
1065,"H0022_0000_DA4.IMG,H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,0,0,0"
1064,H0022_0000_DA4.IMG,1
619,"H1428_0000_DA4.IMG,H1450_0000_DA4.IMG","0,0"
910,"H0280_0001_DA4.IMG,H0293_0000_DA4.IMG,H2612_0000_DA4.IMG","0,0,1"
913,"H2220_0000_DA4.IMG,H2667_0000_DA4.IMG,H6501_0000_DA4.IMG","1,0,0"
298,H1629_0000_DA4.IMG,1
299,H1629_0000_DA4.IMG,1
296,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
297,H1629_0000_DA4.IMG,1
294,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
295,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,1"
292,H5173_0000_DA4.IMG,1
293,H5173_0000_DA4.IMG,1
290,H1629_0000_DA4.IMG,1
291,"H1629_0000_DA4.IMG,H5173_0000_DA4.IMG","1,0"
591,"H1644_0000_DA4.IMG,H5328_0000_DA4.IMG","1,0"
1086,"H0506_0000_DA4.IMG,H2510_0001_DA4.IMG,H6437_0000_DA4.IMG","1,1,0"
593,H1644_0000_DA4.IMG,0
1084,"H0506_0000_DA4.IMG,H2510_0001_DA4.IMG,H6437_0000_DA4.IMG","0,1,0"
199,H1526_0000_DA4.IMG,1
198,H1526_0000_DA4.IMG,1
597,"H1644_0000_DA4.IMG,H5328_0000_DA4.IMG","1,1"
1080,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,1,0"
195,H2878_0000_DA4.IMG,1
194,H2878_0000_DA4.IMG,1
197,H2878_0000_DA4.IMG,1
196,H2878_0000_DA4.IMG,0
1124,H4199_0000_DA4.IMG,0
1125,H0466_0000_DA4.IMG,1
1089,"H0506_0000_DA4.IMG,H2510_0001_DA4.IMG,H6437_0000_DA4.IMG","0,1,1"
192,H1317_0000_DA4.IMG,1
270,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,1"
271,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,1"
272,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,0"
273,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,0"
274,H1391_0000_DA4.IMG,1
275,"H1391_0000_DA4.IMG,H1607_0009_DA4.IMG","1,0"
276,H1391_0000_DA4.IMG,1
277,H1391_0000_DA4.IMG,1
278,H1629_0000_DA4.IMG,1
279,H1629_0000_DA4.IMG,1
738,"H0155_0000_DA4.IMG,H0478_0000_DA4.IMG,H0489_0000_DA4.IMG,H2438_0000_DA4.IMG,H2460_0001_DA4.IMG","0,0,0,0,0"
1067,"H0506_0000_DA4.IMG,H2466_0000_DA4.IMG,H6419_0000_DA4.IMG","1,1,1"
524,"H1351_0001_DA4.IMG,H1578_0000_DA4.IMG,H1600_0001_DA4.IMG","1,1,0"
525,"H1351_0001_DA4.IMG,H1578_0000_DA4.IMG,H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","0,0,0,0"
526,"H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","1,1"
527,"H1351_0001_DA4.IMG,H1578_0000_DA4.IMG,H1600_0001_DA4.IMG,H1622_0000_DA4.IMG","0,0,1,0"
520,H2996_0000_DA4.IMG,0
521,H1578_0000_DA4.IMG,1
522,H1578_0000_DA4.IMG,1
523,H1578_0000_DA4.IMG,1
1014,H2345_0000_DA4.IMG,0
1015,"H2345_0000_DA4.IMG,H1887_0000_DA4.IMG","0,0"
