CatNum,HiRISE_img,ContainsArr
1140,ESP_012238_1315_ESP_012383_1315_RED_ANAGLYPH,0
498,ESP_050096_2210_ESP_049819_2210_RED_ANAGLYPH,0
24,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,1
25,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
22,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
939,ESP_011985_1400_ESP_011919_1400_RED_ANAGLYPH,0
541,ESP_016418_2255_ESP_017130_2255_RED_ANAGLYPH,1
340,PSP_008308_2160_PSP_008888_2160_RED_ANAGLYPH,1
341,PSP_008308_2160_PSP_008888_2160_RED_ANAGLYPH,1
548,ESP_035327_2255_ESP_035828_2255_RED_ANAGLYPH,1
716,"ESP_034972_2175_ESP_034695_2175_RED_ANAGLYPH,ESP_036884_2175_ESP_035618_2175_RED_ANAGLYPH","0,0"
715,ESP_016076_2175_ESP_016221_2175_RED_ANAGLYPH,0
999,"ESP_013528_1380_ESP_013673_1380_RED_ANAGLYPH,PSP_005696_1380_PSP_005419_1380_RED_ANAGLYPH","0,0"
122,ESP_026975_2140_ESP_027331_2140_RED_ANAGLYPH,0
528,ESP_052285_2255_ESP_052509_2255_RED_ANAGLYPH,1
1063,ESP_023141_1435_ESP_023642_1435_RED_ANAGLYPH,1
529,ESP_052285_2255_ESP_052509_2255_RED_ANAGLYPH,0
929,ESP_022494_1385_ESP_022639_1385_RED_ANAGLYPH,0
534,ESP_016141_2260_ESP_016431_2260_RED_ANAGLYPH,0
410,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
411,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
412,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
54,ESP_050760_2240_ESP_050483_2240_RED_ANAGLYPH,0
1084,ESP_020860_1420_ESP_020794_1420_RED_ANAGLYPH,0
1083,PSP_005670_1415_PSP_003692_1415_RED_ANAGLYPH,0
198,PSP_007884_2195_PSP_006961_2195_RED_ANAGLYPH,1
1279,PSP_005696_1380_PSP_005419_1380_RED_ANAGLYPH,0
312,PSP_003482_2115_PSP_005895_2115_RED_ANAGLYPH,0
707,ESP_013531_2140_ESP_022036_2140_RED_ANAGLYPH,0
